Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,1356,0,26,84.1462938056836,15.585299988742918,10457.987000001594,191.0,0.2970739194027728,0.0,16,20,26,40,72,95,190,340,520,740,1100,10000,10000
GET,/api/v1/adminbasicservice/adminbasic/prices,1319,0,25,89.45641410259044,16.21739999973215,10468.819100002293,1685.0,0.28896792012703343,0.0,16,20,25,35,62,88,170,320,530,620,8500,10000,10000
GET,/api/v1/assuranceservice/assurances/types,1339,0,19,52.268544959293536,13.344800012419,2397.55910000531,108.0,0.2933495413571628,0.0,13,16,19,26,39,59,110,220,360,460,840,2400,2400
GET,/api/v1/cancelservice/cancel/00b6cccb-9202-4613-ad85-afa639085cb6/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,5591.855399979977,5591.855399979977,5591.855399979977,5591.855399979977,41.0,0.0002190810615064696,0.0,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
GET,/api/v1/cancelservice/cancel/01a7251b-0490-4782-b30b-1f7ad5d5b37f/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,516.2577000155579,516.2577000155579,516.2577000155579,516.2577000155579,41.0,0.0002190810615064696,0.0,520,520,520,520,520,520,520,520,520,520,520,520,520
GET,/api/v1/cancelservice/cancel/01fc439b-e2f4-44e4-be57-ea791a1f673a/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,95.31639999477193,95.31639999477193,95.31639999477193,95.31639999477193,41.0,0.0002190810615064696,0.0,95,95,95,95,95,95,95,95,95,95,95,95,95
GET,/api/v1/cancelservice/cancel/021d9dec-6ea7-4c6c-95de-445272ff37a5/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,215.0909999909345,215.0909999909345,215.0909999909345,215.0909999909345,41.0,0.0002190810615064696,0.0,220,220,220,220,220,220,220,220,220,220,220,220,220
GET,/api/v1/cancelservice/cancel/029dade4-7a5d-46c3-9a76-894ed9a73483/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,6236.39840001124,6236.39840001124,6236.39840001124,6236.39840001124,41.0,0.0002190810615064696,0.0,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200
GET,/api/v1/cancelservice/cancel/02a746e3-ab9d-45a3-8a6c-5f3c4240688b/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,5742.809099989245,5742.809099989245,5742.809099989245,5742.809099989245,41.0,0.0002190810615064696,0.0,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700
GET,/api/v1/cancelservice/cancel/036f8b8b-a8f3-474f-b8de-a5091f281bc0/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,425.6292999780271,425.6292999780271,425.6292999780271,425.6292999780271,41.0,0.0002190810615064696,0.0,430,430,430,430,430,430,430,430,430,430,430,430,430
