Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,1390,0,430.0,466.77154460430836,23.218000000269967,7238.174500000014,191.0,0.304550398857811,0.0,23,250,430,550,630,680,830,970,1200,1400,2900,7200,7200
GET,/api/v1/adminbasicservice/adminbasic/prices,1355,0,440.0,473.0491782287891,27.933800000027986,8899.499299999889,1685.0,0.29688186363477254,0.0,28,280,440,540,610,660,800,930,1100,1300,7000,8900,8900
GET,/api/v1/assuranceservice/assurances/types,1372,0,230.0,256.94566887755246,17.84459999998944,5170.27010000038,108.0,0.3006065807431055,0.0,18,130,230,290,340,370,460,550,630,690,3800,5200,5200
PUT,/api/v1/consignservice/consigns,1426,0,310.0,351.8534349929828,31.886900000245078,10458.430199999839,389.00981767180923,0.3124380350872219,0.0,32,200,310,370,430,470,580,670,840,990,7800,10000,10000
GET,/api/v1/contactservice/contacts/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1370,0,300.0,326.75155518247755,20.85529999976643,4687.618100000009,459.0,0.30016837873036045,0.0,21,170,300,380,430,460,570,690,790,1000,4300,4700,4700
GET,/api/v1/executeservice/execute/execute/8177ac5a-61ac-42f4-83f4-bd7b394d0531,1,0,4123.672899999974,4123.672899999974,4123.672899999974,4123.672899999974,51.0,0.00021910100637252588,0.0,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/api/v1/foodservice/foods/2021-07-14/Shang%20Hai/Su%20Zhou/D1345,2834,0,410.0,472.0360865913929,37.67309999966528,11904.694199999994,1090.0,0.6209322520597383,0.0,38,260,410,520,610,660,840,1000,1200,1400,2600,12000,12000
POST,/api/v1/inside_pay_service/inside_payment,392033,1,320.0,388.2321103190358,17.880500000046595,17744.382999999973,72.00026018217854,85.89482483124044,0.00021910100637252588,18,210,320,390,450,490,630,830,1300,1800,5600,16000,18000
POST,/api/v1/orderOtherService/orderOther/refresh,8393,1,290.0,366.2496231740717,23.623399999905814,13592.287500000111,2525.6194447754083,1.8389147464846096,0.00021910100637252588,24,180,290,370,430,470,610,820,1300,1700,5200,14000,14000
POST,/api/v1/orderservice/order/refresh,8410,0,460.0,511.3960766468501,26.655500000060783,6549.390499999845,1314.0,1.8426394635929426,0.0,27,290,460,570,660,720,890,1100,1300,1600,3700,6500,6500
POST,/api/v1/rebookservice/rebook,9145,0,300.0,331.6668293384382,21.897900000112713,6295.496699999603,127.0,2.003678703276749,0.0,22,200,300,370,420,450,550,660,860,1100,1900,6300,6300
GET,/api/v1/routeservice/routes/92708982-77af-4318-be25-57ccb0ff69ad,1427,1427,380.0,389.6943532585861,12.635499999987587,5210.386200000357,175.0,0.3126571360935944,0.3126571360935944,13,210,380,460,510,560,690,800,1100,1200,2000,5200,5200
POST,/api/v1/travel2service/trips/left,2089,0,530.0,597.9178358066081,48.31769999964308,16112.003200000117,43.0,0.45770200231220654,0.0,48,350,530,650,750,810,990,1200,1400,1600,12000,16000,16000
POST,/api/v1/travelplanservice/travelPlan/quickest,1382,1382,600.0,643.3459178002909,73.54380000015226,9964.82889999993,214.0,0.3027975908068308,0.3027975908068308,74,380,600,740,810,870,1100,1200,1500,1700,5500,10000,10000
POST,/api/v1/travelservice/trips/left,691,0,610.0,647.0239030390712,61.78009999985079,5209.617699999853,53.0,0.1513987954034154,0.0,62,400,610,740,830,890,1100,1200,1500,1700,5200,5200,5200
POST,/api/v1/travelservice/trips/left_parallel,1358,1358,410.0,429.1409125184083,18.196699999862176,2828.687700000046,245.0,0.29753916665389013,0.29753916665389013,18,240,410,500,570,610,750,890,1100,1300,2200,2800,2800
POST,/api/v1/users/login,19614,0,870.0,1132.7559852962206,282.6525999998921,18117.110700000012,368.0,4.297447138990723,0.0,280,660,870,1100,1200,1400,1800,2300,3800,7100,14000,18000,18000
,Aggregated,454290,4169,330.0,423.70126415858607,12.635499999987587,18117.110700000012,169.11719826542517,99.53539618497479,0.9134320955670604,13,220,330,410,480,530,720,1000,1500,2000,7100,16000,18000
