Timestamp,User Count,Type,Name,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1755680895,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1755680896,1,,Aggregated,0.000000,0.000000,280,280,280,280,280,280,280,280,280,280,280,280,280,1,0,282.46627998305485,282.46627998305485,282.46627998305485,282.46627998305485,5183.0
1755680897,1,,Aggregated,0.000000,0.000000,40,40,280,280,280,280,280,280,280,280,280,280,280,2,0,40.28473899234086,161.37550948769785,40.28473899234086,282.46627998305485,5183.0
1755680898,1,,Aggregated,0.000000,0.000000,40,40,43,43,280,280,280,280,280,280,280,280,280,3,0,43,121.99109133022527,40.28473899234086,282.46627998305485,5183.0
1755680899,1,,Aggregated,0.500000,0.000000,36,40,43,43,280,280,280,280,280,280,280,280,280,4,0,40,100.43163198861293,35.75325396377593,282.46627998305485,5183.0
1755680900,1,,Aggregated,0.666667,0.000000,35,36,40,43,43,280,280,280,280,280,280,280,280,5,0,40,87.34701339853927,35.008539038244635,282.46627998305485,5183.0
1755680901,1,,Aggregated,0.750000,0.000000,32,35,40,40,43,43,280,280,280,280,280,280,280,6,0,36,78.1598374984848,32.22395799821243,282.46627998305485,5183.0
1755680902,1,,Aggregated,0.800000,0.000000,30,32,36,40,43,43,280,280,280,280,280,280,280,7,0,36,71.22306286224297,29.602415044791996,282.46627998305485,5183.0
1755680903,1,,Aggregated,0.833333,0.000000,30,32,36,40,43,43,280,280,280,280,280,280,280,8,0,35,66.28341387840919,29.602415044791996,282.46627998305485,5183.0
1755680904,1,,Aggregated,0.857143,0.000000,30,32,35,36,40,43,280,280,280,280,280,280,280,9,0,35,62.82971389332993,29.602415044791996,282.46627998305485,5183.0
1755680905,1,,Aggregated,0.875000,0.000000,30,32,36,40,43,55,280,280,280,280,280,280,280,10,0,35,62.05143700353801,29.602415044791996,282.46627998305485,5183.0
1755680906,1,,Aggregated,0.888889,0.000000,30,32,35,40,43,43,55,280,280,280,280,280,280,11,0,35,59.36314982086928,29.602415044791996,282.46627998305485,5183.0
1755680907,1,,Aggregated,0.900000,0.000000,30,32,36,36,43,43,55,280,280,280,280,280,280,12,0,35,57.453009920815624,29.602415044791996,282.46627998305485,5183.0
1755680908,1,,Aggregated,1.000000,0.000000,28,32,35,36,40,43,55,280,280,280,280,280,280,13,0,35,55.220926081976636,28.435920015908778,282.46627998305485,5183.0
1755680909,1,,Aggregated,1.000000,0.000000,28,32,35,36,40,43,55,280,280,280,280,280,280,14,0,35,53.31414271911074,28.435920015908778,282.46627998305485,5183.0
1755680910,1,,Aggregated,1.000000,0.000000,28,32,35,36,40,43,55,280,280,280,280,280,280,15,0,35,51.9202669383958,28.435920015908778,282.46627998305485,5183.0
1755680911,1,,Aggregated,1.000000,0.000000,28,32,35,36,40,40,55,280,280,280,280,280,280,16,0,32,50.69375744278659,28.435920015908778,282.46627998305485,5183.0
1755680912,1,,Aggregated,1.000000,0.000000,25,32,32,36,36,40,55,280,280,280,280,280,280,17,0,32,49.2044062976835,25.374787976033986,282.46627998305485,5183.0
1755680913,1,,Aggregated,1.000000,0.000000,25,32,33,35,36,40,55,280,280,280,280,280,280,18,0,32,48.33148416946642,25.374787976033986,282.46627998305485,5183.0
1755680914,1,,Aggregated,1.000000,0.000000,25,30,32,35,36,40,55,280,280,280,280,280,280,19,0,32,47.23208047768199,25.374787976033986,282.46627998305485,5183.0
1755680915,1,,Aggregated,1.000000,0.000000,25,30,32,35,36,40,55,280,280,280,280,280,280,20,0,32,46.38857285317499,25.374787976033986,282.46627998305485,5183.0
1755680916,1,,Aggregated,1.000000,0.000000,25,30,32,35,36,36,43,55,280,280,280,280,280,21,0,32,45.63959195677723,25.374787976033986,282.46627998305485,5183.0
1755680917,1,,Aggregated,1.000000,0.000000,25,30,32,35,36,36,43,55,280,280,280,280,280,22,0,32,44.92860959461805,25.374787976033986,282.46627998305485,5183.0
1755680918,1,,Aggregated,1.000000,0.000000,25,30,32,35,36,36,43,55,280,280,280,280,280,22,0,32,44.92860959461805,25.374787976033986,282.46627998305485,5183.0
1755680919,1,,Aggregated,1.000000,0.000000,25,30,32,35,36,36,43,55,280,280,280,280,280,23,0,32,44.355543611227006,25.374787976033986,282.46627998305485,5183.0
1755680920,1,,Aggregated,1.000000,0.000000,25,30,32,33,36,36,43,55,280,280,280,280,280,24,0,32,43.576688292281084,25.374787976033986,282.46627998305485,5183.0
1755680921,1,,Aggregated,1.000000,0.000000,25,30,32,35,35,36,43,55,280,280,280,280,280,25,0,32,43.23528871871531,25.374787976033986,282.46627998305485,5183.0
1755680922,1,,Aggregated,1.000000,0.000000,25,30,32,35,35,36,43,55,280,280,280,280,280,26,0,32,42.7063286523872,25.374787976033986,282.46627998305485,5183.0
1755680923,1,,Aggregated,1.000000,0.000000,25,30,32,35,36,36,43,55,280,280,280,280,280,27,0,32,42.54748510990154,25.374787976033986,282.46627998305485,5183.0
1755680924,1,,Aggregated,1.000000,0.000000,25,30,32,35,36,36,43,55,280,280,280,280,280,28,0,32,41.96517267804926,25.374787976033986,282.46627998305485,5183.0
1755680925,1,,Aggregated,1.000000,0.000000,25,30,32,35,35,36,43,55,280,280,280,280,280,29,0,32,41.62274406829464,25.374787976033986,282.46627998305485,5183.0
