Timestamp,User Count,Type,Name,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1757164142,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1757164143,1,,Aggregated,0.000000,0.000000,230,230,230,230,230,230,230,230,230,230,230,230,230,1,0,234.41228992305696,234.41228992305696,234.41228992305696,234.41228992305696,5183.0
1757164144,1,,Aggregated,0.000000,0.000000,40,40,230,230,230,230,230,230,230,230,230,230,230,2,0,40.37741804495454,137.39485398400575,40.37741804495454,234.41228992305696,5183.0
1757164145,1,,Aggregated,0.000000,0.000000,25,25,40,40,230,230,230,230,230,230,230,230,230,3,0,40,100.08069702113669,25.452383095398545,234.41228992305696,5183.0
1757164146,1,,Aggregated,1.000000,0.000000,25,40,220,220,230,230,230,230,230,230,230,230,230,4,0,40,131.04808499338105,25.452383095398545,234.41228992305696,5183.0
1757164147,1,,Aggregated,1.000000,0.000000,25,40,150,220,220,230,230,230,230,230,230,230,230,5,0,150.0,134.53355240635574,25.452383095398545,234.41228992305696,5183.0
1757164148,1,,Aggregated,1.000000,0.000000,25,36,150,150,220,220,230,230,230,230,230,230,230,6,0,40,118.06329184522231,25.452383095398545,234.41228992305696,5183.0
1757164149,1,,Aggregated,1.000000,0.000000,25,36,150,150,220,220,230,230,230,230,230,230,230,6,0,40,118.06329184522231,25.452383095398545,234.41228992305696,5183.0
1757164150,1,,Aggregated,1.000000,0.000000,25,36,150,220,230,230,520,520,520,520,520,520,520,7,0,150.0,175.8033890011055,25.452383095398545,522.2439719364047,5183.0
1757164151,1,,Aggregated,0.833333,0.000000,25,40,150,220,230,230,520,520,520,520,520,520,520,8,0,41,158.91006775200367,25.452383095398545,522.2439719364047,5183.0
1757164152,1,,Aggregated,0.857143,0.000000,25,36,41,150,220,230,520,520,520,520,520,520,520,9,0,41,144.63242531443635,25.452383095398545,522.2439719364047,5183.0
1757164153,1,,Aggregated,0.875000,0.000000,25,31,41,150,220,230,520,520,520,520,520,520,520,10,0,40,133.2580346846953,25.452383095398545,522.2439719364047,5183.0
1757164154,1,,Aggregated,0.888889,0.000000,25,31,40,150,220,220,230,520,520,520,520,520,520,11,0,40,124.12880443629216,25.452383095398545,522.2439719364047,5183.0
1757164155,1,,Aggregated,0.900000,0.000000,22,31,40,41,220,220,230,520,520,520,520,520,520,12,0,36,115.65784914031003,22.477340884506702,522.2439719364047,5183.0
1757164156,1,,Aggregated,0.900000,0.000000,22,31,36,41,150,220,230,520,520,520,520,520,520,13,0,36,109.25152559334842,22.477340884506702,522.2439719364047,5183.0
1757164157,1,,Aggregated,0.900000,0.000000,22,31,36,41,150,220,230,520,520,520,520,520,520,14,0,33,103.68126662381526,22.477340884506702,522.2439719364047,5183.0
1757164158,1,,Aggregated,0.900000,0.000000,22,30,33,40,150,220,230,520,520,520,520,520,520,15,0,33,98.30662758710484,22.477340884506702,522.2439719364047,5183.0
1757164159,1,,Aggregated,0.900000,0.000000,22,30,33,40,150,150,230,520,520,520,520,520,520,16,0,32,93.89995392120909,22.477340884506702,522.2439719364047,5183.0
1757164160,1,,Aggregated,0.900000,0.000000,22,30,32,40,41,150,230,520,520,520,520,520,520,17,0,32,90.2031493400607,22.477340884506702,522.2439719364047,5183.0
1757164161,1,,Aggregated,1.000000,0.000000,22,28,32,36,41,150,230,520,520,520,520,520,520,18,0,31,86.75848549076666,22.477340884506702,522.2439719364047,5183.0
1757164162,1,,Aggregated,1.000000,0.000000,22,28,31,36,41,150,230,520,520,520,520,520,520,19,0,31,83.44031467200502,22.477340884506702,522.2439719364047,5183.0
1757164163,1,,Aggregated,1.000000,0.000000,22,28,32,36,41,150,230,520,520,520,520,520,520,20,0,31,80.88012064108625,22.477340884506702,522.2439719364047,5183.0
1757164164,1,,Aggregated,1.000000,0.000000,22,28,31,33,40,41,220,230,520,520,520,520,520,21,0,31,78.40780937112868,22.477340884506702,522.2439719364047,5183.0
1757164165,1,,Aggregated,1.000000,0.000000,22,28,32,36,40,41,220,230,520,520,520,520,520,22,0,31,76.64463262666355,22.477340884506702,522.2439719364047,5183.0
1757164166,1,,Aggregated,1.000000,0.000000,22,28,31,36,40,41,220,230,520,520,520,520,520,23,0,31,74.49169564263329,22.477340884506702,522.2439719364047,5183.0
1757164167,1,,Aggregated,0.900000,0.000000,22,28,32,33,40,41,220,230,520,520,520,520,520,24,0,31,72.77552261560534,22.477340884506702,522.2439719364047,5183.0
1757164168,1,,Aggregated,0.900000,0.000000,22,28,31,33,40,41,220,230,520,520,520,520,520,25,0,31,70.89813587255776,22.477340884506702,522.2439719364047,5183.0
1757164169,1,,Aggregated,0.900000,0.000000,22,28,31,33,40,40,220,230,520,520,520,520,520,26,0,31,69.24130684302116,22.477340884506702,522.2439719364047,5183.0
1757164170,1,,Aggregated,0.900000,0.000000,22,28,31,33,40,40,220,230,520,520,520,520,520,27,0,31,68.01894644309802,22.477340884506702,522.2439719364047,5183.0
1757164171,1,,Aggregated,0.900000,0.000000,22,28,31,33,40,40,220,230,520,520,520,520,520,27,0,31,68.01894644309802,22.477340884506702,522.2439719364047,5183.0
1757164172,1,,Aggregated,0.900000,0.000000,22,28,32,36,40,41,230,520,910,910,910,910,910,28,0,31,98.05906439266566,22.477340884506702,909.1422490309924,5183.0
1757164173,11,,Aggregated,0.900000,0.000000,22,28,36,59,150,230,250,520,910,910,910,910,910,39,0,36,113.79637071886697,22.477340884506702,909.1422490309924,5183.0
1757164174,11,,Aggregated,0.800000,0.000000,19,29,36,42,82,150,250,250,910,910,910,910,910,50,0,36,97.10735762491822,19.47331102564931,909.1422490309924,5183.0
1757164175,11,,Aggregated,1.800000,0.000000,18,29,33,40,57,82,240,250,520,910,910,910,910,61,0,33,85.05069672084245,17.945201136171818,909.1422490309924,5183.0
1757164176,11,,Aggregated,2.800000,0.000000,18,29,34,40,45,63,230,250,520,910,910,910,910,72,0,33,77.7194905838567,17.945201136171818,909.1422490309924,5183.0
1757164177,11,,Aggregated,3.900000,0.000000,18,28,34,37,41,59,220,250,520,910,910,910,910,83,0,34,71.95673693050013,17.945201136171818,909.1422490309924,5183.0
1757164178,21,,Aggregated,4.900000,0.000000,18,30,36,56,110,160,250,350,440,520,910,910,910,104,0,36,99.77836067376371,17.945201136171818,909.1422490309924,5183.0
1757164179,21,,Aggregated,5.900000,0.000000,18,31,37,59,160,210,250,350,440,520,910,910,910,125,0,37,103.67896282114089,17.945201136171818,909.1422490309924,5183.0
1757164180,21,,Aggregated,7.900000,0.000000,18,31,37,51,110,190,250,340,440,520,910,910,910,146,0,37,94.26413412837388,17.945201136171818,909.1422490309924,5183.0
1757164181,21,,Aggregated,9.200000,0.000000,16,31,37,43,69,150,250,290,390,520,910,910,910,167,0,37,86.94060492011423,16.044281888753176,909.1422490309924,5183.0
1757164182,21,,Aggregated,10.900000,0.000000,16,31,36,42,57,82,240,260,390,520,910,910,910,187,0,36,81.4228879392426,16.044281888753176,909.1422490309924,5183.0
1757164183,31,,Aggregated,12.900000,0.000000,16,30,36,42,59,81,230,260,350,440,910,910,910,218,0,36,77.31757805802339,16.044281888753176,909.1422490309924,5183.0
1757164184,31,,Aggregated,15.000000,0.000000,16,31,37,44,68,93,210,250,350,440,910,910,910,249,0,37,76.32797354940759,16.044281888753176,909.1422490309924,5183.0
1757164185,31,,Aggregated,17.000000,0.000000,16,31,38,50,69,97,210,250,350,440,910,910,910,278,0,38,76.23623008337273,16.044281888753176,909.1422490309924,5183.0
1757164186,31,,Aggregated,18.800000,0.000000,16,31,39,51,78,100,200,250,350,390,910,910,910,305,0,39,76.18279686640399,16.044281888753176,909.1422490309924,5183.0
1757164187,31,,Aggregated,20.800000,0.000000,16,30,37,45,68,92,190,250,350,390,910,910,910,336,0,37,72.09964141310635,16.044281888753176,909.1422490309924,5183.0
1757164188,41,,Aggregated,22.600000,0.000000,16,30,38,51,69,100,190,250,340,390,910,910,910,377,0,38,72.77466817413128,16.044281888753176,909.1422490309924,5183.0
1757164189,41,,Aggregated,24.100000,0.000000,16,30,38,52,81,100,180,240,310,350,910,910,910,418,0,38,71.7251127798547,16.044281888753176,909.1422490309924,5183.0
1757164190,41,,Aggregated,26.100000,0.000000,16,29,38,50,68,96,160,230,290,350,910,910,910,455,0,38,68.8906314839087,16.044281888753176,909.1422490309924,5183.0
1757164191,41,,Aggregated,28.800000,0.000000,16,29,39,53,76,94,150,220,290,350,910,910,910,496,0,39,68.13096076404045,16.044281888753176,909.1422490309924,5183.0
1757164192,41,,Aggregated,31.000000,0.000000,16,29,38,50,66,91,150,210,260,350,910,910,910,537,0,38,65.57899482636687,15.885849017649889,909.1422490309924,5183.0
1757164193,51,,Aggregated,32.700000,0.000000,16,30,40,56,89,100,180,240,300,350,910,910,910,581,0,40,72.94277055429458,15.885849017649889,909.1422490309924,5183.0
1757164194,51,,Aggregated,34.300000,0.000000,16,30,41,65,100,130,210,260,310,350,910,910,910,626,0,41,80.98946411992772,15.885849017649889,909.1422490309924,5183.0
1757164195,51,,Aggregated,35.900000,0.000000,16,31,42,78,110,140,230,310,490,540,910,910,910,652,0,42,93.488161809931,15.885849017649889,909.1422490309924,5183.0
1757164196,51,,Aggregated,37.000000,0.000000,16,31,43,91,130,170,290,500,700,860,1100,1100,1100,678,0,43,117.51341315434152,15.885849017649889,1098.7638828810304,5183.0
1757164197,51,,Aggregated,36.900000,0.000000,16,32,48,100,160,210,360,550,830,910,1100,1100,1100,729,0,48,136.04437293445204,15.885849017649889,1098.7638828810304,5183.0
1757164198,62,,Aggregated,37.200000,0.000000,16,32,53,120,200,240,400,540,760,910,1100,1100,1100,775,0,53,146.61557051533413,15.885849017649889,1098.7638828810304,5183.0
1757164199,62,,Aggregated,39.000000,0.000000,16,33,58,150,240,300,400,530,760,910,1100,1100,1100,818,0,57,158.34808048893512,15.885849017649889,1098.7638828810304,5183.0
1757164200,62,,Aggregated,39.300000,0.000000,16,33,68,180,280,340,450,550,740,910,1100,1100,1100,856,0,67,172.51989491709298,15.885849017649889,1098.7638828810304,5183.0
1757164201,62,,Aggregated,39.600000,0.000000,16,34,88,210,330,400,500,600,700,910,1100,1100,1100,901,0,88,191.4380987512814,15.885849017649889,1098.7638828810304,5183.0
1757164202,62,,Aggregated,39.800000,0.000000,16,35,97,250,360,400,500,600,700,910,1100,1100,1100,945,0,97,201.05790262623006,15.885849017649889,1098.7638828810304,5183.0
1757164203,72,,Aggregated,39.900000,0.000000,16,35,110,300,400,400,500,600,700,910,1100,1100,1100,987,0,110.0,213.71528643972252,15.885849017649889,1098.7638828810304,5183.0
1757164204,72,,Aggregated,40.700000,0.000000,16,36,120,310,400,450,600,700,800,910,1100,1100,1100,1029,0,120.0,233.93688788972398,15.885849017649889,1098.7638828810304,5183.0
1757164205,72,,Aggregated,40.500000,0.000000,16,38,150,360,410,500,600,700,800,910,1100,1100,1100,1077,0,150.0,253.1155630141521,15.885849017649889,1098.7638828810304,5183.0
1757164206,72,,Aggregated,40.500000,0.000000,16,39,170,390,480,510,610,700,800,900,1100,1100,1100,1117,0,170.0,266.43300647872366,15.885849017649889,1098.7638828810304,5183.0
1757164207,72,,Aggregated,42.100000,0.000000,16,39,200,400,500,590,700,710,800,900,1100,1100,1100,1158,0,200.0,282.98644710509893,15.885849017649889,1098.7638828810304,5183.0
1757164208,82,,Aggregated,43.000000,0.000000,16,40,220,400,510,600,700,770,840,910,1100,1100,1100,1199,0,220.0,298.9169131112739,15.885849017649889,1098.7638828810304,5183.0
1757164209,82,,Aggregated,42.900000,0.000000,16,41,240,440,590,600,700,850,1000,1000,1200,1200,1200,1240,0,240.0,322.0674650886306,15.885849017649889,1202.0355549175292,5183.0
1757164210,82,,Aggregated,42.700000,0.000000,16,41,280,490,600,690,800,1000,1000,1100,1200,1200,1200,1282,0,270.0,345.25754991951493,15.885849017649889,1202.0355549175292,5183.0
1757164211,82,,Aggregated,42.300000,0.000000,16,42,300,500,600,700,900,1000,1100,1100,1200,1200,1200,1320,0,300.0,364.5208606178957,15.885849017649889,1202.0355549175292,5183.0
1757164212,82,,Aggregated,42.200000,0.000000,16,42,310,510,680,700,1000,1000,1100,1100,1200,1200,1200,1360,0,310.0,384.8525599891539,15.885849017649889,1202.0355549175292,5183.0
1757164213,92,,Aggregated,42.300000,0.000000,16,44,350,590,700,710,1000,1100,1100,1100,1200,1200,1200,1402,0,350.0,405.0564575895864,15.885849017649889,1202.0355549175292,5183.0
1757164214,92,,Aggregated,41.400000,0.000000,16,46,380,600,700,800,1000,1100,1200,1200,1400,1500,1500,1443,0,380.0,427.4567682683282,15.885849017649889,1484.1509719844908,5183.0
1757164215,92,,Aggregated,41.100000,0.000000,16,50,400,600,700,890,1100,1100,1200,1300,1400,1500,1500,1482,0,400.0,448.4534016302906,15.885849017649889,1484.1509719844908,5183.0
1757164216,92,,Aggregated,41.500000,0.000000,16,51,400,610,790,990,1100,1200,1300,1300,1400,1500,1500,1522,0,400.0,470.47746456785035,15.885849017649889,1484.1509719844908,5183.0
1757164217,92,,Aggregated,40.900000,0.000000,16,53,400,690,830,1000,1100,1300,1300,1400,1400,1500,1500,1563,0,400.0,493.20821820457974,15.885849017649889,1484.1509719844908,5183.0
1757164218,112,,Aggregated,40.800000,0.000000,16,56,410,700,900,1000,1200,1300,1400,1400,1400,1500,1500,1599,0,410.0,512.2683864067063,15.885849017649889,1484.1509719844908,5183.0
1757164219,112,,Aggregated,40.300000,0.000000,16,58,440,700,1000,1000,1200,1300,1400,1600,1900,1900,1900,1639,0,440.0,537.9786133124647,15.885849017649889,1903.2139449846,5183.0
1757164220,112,,Aggregated,40.200000,0.000000,16,63,480,700,1000,1100,1300,1400,1800,1900,2000,2000,2000,1677,0,480.0,568.7179681611763,15.885849017649889,2000.025792978704,5183.0
1757164221,112,,Aggregated,39.700000,0.000000,16,68,500,740,1000,1100,1300,1700,1900,1900,2000,2100,2100,1717,0,500.0,599.3933627254725,15.885849017649889,2094.4965651724488,5183.0
1757164222,112,,Aggregated,39.700000,0.000000,16,78,500,800,1000,1100,1400,1800,1900,1900,2000,2100,2100,1756,0,500.0,626.983307910593,15.885849017649889,2094.4965651724488,5183.0
1757164223,132,,Aggregated,39.500000,0.000000,16,87,510,900,1100,1200,1500,1900,1900,2000,2000,2100,2100,1798,0,510.0,655.3062460691128,15.885849017649889,2094.4965651724488,5183.0
1757164224,132,,Aggregated,40.000000,0.000000,16,91,570,990,1100,1200,1800,1900,1900,2000,2000,2100,2100,1843,0,570.0,682.5608607306793,15.885849017649889,2094.4965651724488,5183.0
1757164225,132,,Aggregated,39.700000,0.000000,16,97,600,1000,1200,1300,1800,1900,2000,2100,2500,2700,2700,1885,0,600.0,714.8946297889827,15.885849017649889,2698.328619124368,5183.0
1757164226,132,,Aggregated,39.800000,0.000000,16,100,600,1000,1200,1300,1800,1900,2100,2200,2500,2700,2700,1925,0,600.0,743.3861175797541,15.885849017649889,2698.328619124368,5183.0
