Count,Message,Traceback,Nodes
6,"can only concatenate str (not ""NoneType"") to str","  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 340, in run
    self.execute_next_task()
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 385, in execute_task
    task(self)
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\load_generator_train.py"", line 341, in query_food_use
    headers[""Authorization""] = ""Bearer "" + token
                        ~~~~~~~~~~^~~~~~~
",local
8,"can only concatenate str (not ""NoneType"") to str","  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 340, in run
    self.execute_next_task()
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 385, in execute_task
    task(self)
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\load_generator_train.py"", line 128, in query_advanced_ticket_use
    headers[""Authorization""] = ""Bearer "" + token
                               ~~~~~~~~~~^~~~~~~
",local
3,"can only concatenate str (not ""NoneType"") to str","  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 340, in run
    self.execute_next_task()
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 385, in execute_task
    task(self)
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\load_generator_train.py"", line 265, in query_and_cancel_use
    headers[""Authorization""] = ""Bearer "" + token
                               ~~~~~~~~~~^~~~~~~
",local
5,"can only concatenate str (not ""NoneType"") to str","  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 340, in run
    self.execute_next_task()
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 385, in execute_task
    task(self)
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\load_generator_train.py"", line 278, in query_and_collect_ticket_use
    headers[""Authorization""] = ""Bearer "" + token
                               ~~~~~~~~~~^~~~~~~
",local
3,"can only concatenate str (not ""NoneType"") to str","  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 340, in run
    self.execute_next_task()
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 385, in execute_task
    task(self)
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\load_generator_train.py"", line 413, in query_travel_left_use
    headers[""Authorization""] = ""Bearer "" + token
                               ~~~~~~~~~~^~~~~~~
",local
3,"can only concatenate str (not ""NoneType"") to str","  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 340, in run
    self.execute_next_task()
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 385, in execute_task
    task(self)
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\load_generator_train.py"", line 249, in query_admin_basic_price_use
    headers[""Authorization""] = ""Bearer "" + token
                               ~~~~~~~~~~^~~~~~~
",local
2,"can only concatenate str (not ""NoneType"") to str","  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 340, in run
    self.execute_next_task()
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 385, in execute_task
    task(self)
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\load_generator_train.py"", line 395, in query_travel_left_parallel_use
    headers[""Authorization""] = ""Bearer "" + token
                               ~~~~~~~~~~^~~~~~~
",local
3,"can only concatenate str (not ""NoneType"") to str","  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 340, in run
    self.execute_next_task()
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 385, in execute_task
    task(self)
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\load_generator_train.py"", line 357, in query_order_and_pay_use
    headers[""Authorization""] = ""Bearer "" + token
                 ~~~~~~~~~~^~~~~~~
",local
2,"can only concatenate str (not ""NoneType"") to str","  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 340, in run
    self.execute_next_task()
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 385, in execute_task
    task(self)
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\load_generator_train.py"", line 112, in query_admin_basic_config_use
    headers[""Authorization""] = ""Bearer "" + token
                               ~~~~~~~~~~^~~~~~~
",local
1,"can only concatenate str (not ""NoneType"") to str","  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 340, in run
    self.execute_next_task()
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\myenv\Lib\site-packages\locust\user\task.py"", line 385, in execute_task
    task(self)
  File ""C:\Users\HP\Documents\DIE\cpouta\evaluation\load_generator_train.py"", line 323, in query_and_rebook_use
    headers[""Authorization""] = ""Bearer "" + token
                               ~~~~~~~~~~^~~~~~~
",local
