Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,9697,53,50,98.5323517713496,6.472271867096424,4426.994096953422,10467.09198721254,2.087819599044031,0.011411203336014607,6,29,50,93,110,120,190,290,610,780,1100,4400,4400
GET,/cart,19397,125,78,132.04917348560957,4.668822046369314,1542.814200045541,15909.671753363922,4.176285115258025,0.02691321541512879,5,35,78,110,160,190,310,490,680,790,1000,1500,1500
POST,/cart,38684,271,110.0,164.04811745728614,4.513282096013427,2181.336034089327,18992.183590114775,8.328886600950737,0.05834785101999922,5,65,110,170,200,220,340,470,610,730,1500,1800,2200
POST,/cart/checkout,9794,58,270.0,329.2705134265844,6.529823178425431,2780.958113959059,6754.593322442312,2.108704254206171,0.01248773195261976,7,160,270,350,410,470,640,830,1100,1300,1800,2800,2800
GET,/product/0PUK6V6EV0,15251,85,61,132.78692284637174,6.531102117151022,2399.3795211426914,7756.647170677333,3.2836275863690334,0.018300986482287576,7,28,61,100,130,180,340,560,800,1000,1500,2300,2400
GET,/product/1YMWWN1N4O,14980,83,64,133.37817190358606,6.561067188158631,2130.021722987294,7768.866288384513,3.225279735349034,0.017870375035645515,7,29,64,100,130,180,340,560,800,990,1500,2000,2100
GET,/product/2ZYFJ3GM2N,15126,81,64,135.0510623870488,6.497180089354515,2324.504734016955,7776.357794525982,3.2567143709539046,0.017439763589003458,6,29,64,100,130,180,340,570,810,1000,1400,2100,2300
GET,/product/66VCHSJNUP,15109,93,63,133.7251556605506,6.389471003785729,2649.5224519167095,7743.308954927526,3.253054173657447,0.02002343226885582,6,29,63,100,130,180,350,560,820,1000,1400,2400,2600
GET,/product/6E92ZMYYFZ,15009,110,64,131.82626081395352,6.533266045153141,2122.3451429978013,7721.208141781598,3.231523601325344,0.023683629565313336,7,29,64,100,130,180,320,560,790,960,1400,2100,2100
GET,/product/9SIQT8TOJO,15175,95,64,133.59125962195523,6.643350934609771,2460.5640689842403,7774.254365733113,3.2672643513966353,0.02045404371549788,7,29,64,100,130,180,340,560,800,990,1500,2000,2500
GET,/product/L9ECAV7KIM,14997,84,64,132.27424776396944,5.9215109795331955,1985.1559810340405,7739.217510168701,3.2289399326454915,0.018085680758966546,6,29,64,100,130,180,330,560,780,970,1400,1900,2000
GET,/product/LS4PSXUNUM,15013,78,62,134.6541227212537,6.370338844135404,2089.2053849529475,7744.11163658163,3.232384824218628,0.016793846419040366,6,29,62,100,130,180,350,570,830,1000,1400,2000,2100
GET,/product/OLJCESPC7Z,14933,106,63,129.56788313192408,6.3779279589653015,1986.6833267733455,7764.669322975959,3.2151603663529458,0.022822406672029213,6,29,63,99,130,180,310,540,780,940,1400,2000,2000
POST,/setCurrency,19095,127,66,106.38590547074249,9.405722841620445,5052.185209002346,10460.11510866719,4.111262786815074,0.02734382686177085,9,34,66,98,110,140,200,300,590,780,1300,5000,5100
,Aggregated,232260,1449,82,142.7344181290593,4.513282096013427,5052.185209002346,10600.686807887712,50.0069072985425,0.31197799309217294,5,32,82,110,170,200,350,530,770,950,1500,2300,5100
