Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,9492,126,65,101.87955433679403,6.171226967126131,1401.3909427449107,10420.400758533502,2.0432902635445656,0.027123322082449983,6,32,65,96,110,130,190,290,620,760,1000,1400,1400
GET,/cart,19232,276,78,132.81385303240486,5.153633654117584,1808.2365631125867,15745.677048668886,4.139966113410144,0.05941299122822377,5,36,78,110,150,180,310,510,690,820,1200,1500,1800
POST,/cart,38366,620,110.0,165.82702700333815,4.541198257356882,1787.8704401664436,18906.74633790335,8.258836309645048,0.13346396580253167,5,68,110,170,200,210,340,480,660,810,1400,1600,1800
POST,/cart/checkout,9572,151,290.0,352.75686528021726,6.832705810666084,2129.578503780067,6734.848098620978,2.0605114204223116,0.03250493360674562,7,190,290,380,440,490,660,880,1200,1400,1800,2100,2100
GET,/product/0PUK6V6EV0,14965,260,73,135.0420417074292,6.156492978334427,2164.5024069584906,7789.064483795523,3.2214326584433652,0.05596875985267457,6,30,73,100,130,180,310,560,830,1000,1400,2100,2200
GET,/product/1YMWWN1N4O,15034,218,74,141.1673407575151,6.383261643350124,1970.5512328073382,7814.604163895171,3.236285906250421,0.04692765249185791,6,31,74,100,140,180,360,600,880,1000,1400,1900,2000
GET,/product/2ZYFJ3GM2N,15228,220,74,139.04110168742048,6.339572835713625,2189.4647856242955,7815.9954032046235,3.278047211678955,0.04735818141380156,6,31,74,100,140,180,350,590,870,1000,1400,1900,2200
GET,/product/66VCHSJNUP,14810,232,73,137.79237023410107,6.55237166211009,2159.924132283777,7781.507629979744,3.1880666669927322,0.049941354945463465,7,30,73,100,130,170,330,580,870,1000,1400,1900,2200
GET,/product/6E92ZMYYFZ,15005,226,72,137.78006079988737,6.224927958101034,1837.807185947895,7768.315094968344,3.230043236882238,0.04864976817963251,6,30,72,100,130,180,350,590,840,1000,1400,1800,1800
GET,/product/9SIQT8TOJO,15055,205,73,136.3569465502342,5.94428600743413,2121.364061255008,7824.755562935901,3.2408064599308295,0.04412921449922418,6,30,73,100,130,170,340,570,850,1000,1400,1800,2100
GET,/product/L9ECAV7KIM,15092,220,72,136.79719420011446,6.629291921854019,2000.043501611799,7785.817651736019,3.248771244986787,0.04735818141380156,7,30,72,100,130,170,340,590,860,1000,1400,1700,2000
GET,/product/LS4PSXUNUM,14890,266,72,138.83683002163588,6.563764065504074,2193.148828111589,7775.561719274681,3.2052878238704783,0.05726034661850552,7,30,72,100,130,180,360,590,860,1000,1400,1900,2200
GET,/product/OLJCESPC7Z,15047,217,73,136.41346538287257,6.144139915704727,1811.9304399006069,7817.556788728651,3.239084344243055,0.046712388030886086,6,31,73,100,130,180,330,570,830,1000,1400,1800,1800
POST,/setCurrency,19104,270,74,109.34212395563134,9.4423140399158,1786.8634057231247,10415.286432160805,4.1124122624057495,0.05812140446239282,9,36,74,100,120,150,200,300,610,790,1000,1600,1800
,Aggregated,230892,3507,86,147.05929475551494,4.541198257356882,2193.148828111589,10585.637709405262,49.70284192270668,0.7549324646281912,5,34,86,110,170,200,360,560,800,1000,1400,1800,2200
