Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,9670,136,50,103.0953618729123,6.213127868250012,4576.187507016584,10415.046432264737,2.081755871344529,0.029278055687989243,6,29,50,91,100,120,200,300,670,880,1800,4600,4600
GET,/cart,19239,293,80,140.04238579231557,4.758157068863511,2064.2438151407987,15684.78330474557,4.141768480744302,0.063076987621918,5,35,80,110,180,200,330,490,720,870,1700,2000,2100
POST,/cart,38236,672,110.0,165.37757231088722,4.435270791873336,2792.824759846553,18869.096532064024,8.231439244749682,0.1446680398700645,4,64,110,180,210,230,340,440,610,800,1700,2500,2800
POST,/cart/checkout,9632,172,260.0,329.11613201354595,6.3439770601689816,2765.869177877903,6730.118355481727,2.073575238137591,0.037028129252456986,6,170,260,350,400,460,620,810,1100,1300,2100,2800,2800
GET,/product/0PUK6V6EV0,14989,249,63,134.48534823693578,6.132401060312986,2458.8013379834592,7683.872172926813,3.226829240494638,0.05360467548756854,6,28,63,100,140,190,320,520,810,1000,1900,2400,2500
GET,/product/1YMWWN1N4O,14965,240,65,139.53534584734223,6.0684881173074245,2493.813782930374,7697.211493484798,3.221662524784993,0.05166715709645161,6,28,65,100,150,190,330,560,870,1100,2100,2500,2500
GET,/product/2ZYFJ3GM2N,14870,241,67,138.31978798225438,5.8030858635902405,2505.6420390028507,7705.855480833894,3.2012109417676475,0.05188243691768682,6,28,67,100,150,190,330,530,830,1100,2100,2500,2500
GET,/product/66VCHSJNUP,14971,212,66,139.64171433416902,5.9725388418883085,2408.963786903769,7678.456348941287,3.2229542037124044,0.04563932210186559,6,28,66,100,150,190,330,570,860,1100,1900,2300,2400
GET,/product/6E92ZMYYFZ,15119,242,67,139.02678616271072,6.253408966585994,2560.8415571041405,7655.635491765328,3.254815617255216,0.05209771673892204,6,28,67,100,150,190,330,550,840,1100,2100,2500,2600
GET,/product/9SIQT8TOJO,15044,238,64,139.51319191202214,6.285510957241058,2408.250934910029,7706.379021536825,3.238669630662575,0.051236597453981174,6,28,64,100,150,190,330,560,870,1100,2100,2400,2400
GET,/product/L9ECAV7KIM,15075,240,66,138.32916755717292,6.151758134365082,2615.252416115254,7666.904676616916,3.2453433051208664,0.05166715709645161,6,28,66,100,150,190,330,550,860,1100,1900,2300,2600
GET,/product/LS4PSXUNUM,14768,230,65,136.67569910457678,5.9943730011582375,2451.486533973366,7671.716549295775,3.1792524000016553,0.049514358884099455,6,28,65,100,150,190,320,520,820,1000,2100,2400,2500
GET,/product/OLJCESPC7Z,14849,210,64,138.65034144603936,6.381302140653133,2598.4815710689873,7703.994949154825,3.196690065521708,0.04520876245939515,6,28,64,100,150,190,330,530,870,1100,2100,2400,2600
POST,/setCurrency,19383,305,64,110.42197652346877,8.942399872466922,5134.435256011784,10405.97549398958,4.172768775002173,0.06566034547674059,9,33,64,96,110,130,200,310,680,890,1900,5100,5100
,Aggregated,230810,3680,82,147.04570508829892,4.435270791873336,5134.435256011784,10507.904128937222,49.688735539299984,0.7922297421455913,4,32,82,110,180,200,340,520,800,1000,1900,2500,5100
