Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,9933,79,68,105.93792012426486,6.489928811788559,1993.1915658526123,10451.189670794322,2.13865938051211,0.017009371897760667,6,31,68,98,110,130,200,290,580,910,1800,2000,2000
GET,/cart,19820,181,67,112.7702338178736,4.970859969034791,2084.2965350020677,15799.313824419778,4.267414569792613,0.03897083941132507,5,34,67,98,110,150,200,300,670,960,1900,2000,2100
POST,/cart,39565,377,100.0,136.18548418133702,4.337510094046593,2581.8744997959584,19003.731555667888,8.518681001707604,0.08117130639817431,4,58,100,150,190,200,280,310,400,490,1500,2300,2600
POST,/cart/checkout,9962,96,260.0,307.17842023271567,6.226662080734968,2310.200217878446,6747.211202569765,2.1449033271581235,0.020669616483354733,6,160,260,320,390,420,570,710,990,1200,2100,2300,2300
GET,/product/0PUK6V6EV0,15485,149,49,101.53973042674141,6.073424126952887,2241.7272669263184,7773.585921859864,3.3340522004661253,0.03208096725020682,6,29,49,92,100,120,190,290,650,990,1900,2200,2200
GET,/product/1YMWWN1N4O,15480,137,51,107.19070398935793,5.931390216574073,2393.804677994922,7792.97803617571,3.332975657940951,0.029497265189787483,6,29,51,93,110,120,200,290,750,1100,1900,2300,2400
GET,/product/2ZYFJ3GM2N,15325,139,52,105.04390442130105,6.032990058884025,2402.7970239985734,7795.109298531811,3.299602839660534,0.029927882199857373,6,29,52,93,110,120,190,290,710,1100,2000,2300,2400
GET,/product/66VCHSJNUP,15437,119,51,105.60224423255397,6.675845943391323,2395.738735096529,7767.312301613008,3.3237173922244483,0.02562171209915847,7,29,51,93,100,120,200,290,720,1100,2000,2200,2400
GET,/product/6E92ZMYYFZ,15490,137,52,104.69092220793075,6.062191911041737,2389.7927480284125,7750.248741123305,3.3351287429913,0.029497265189787483,6,29,52,93,100,120,190,290,710,1100,2000,2400,2400
GET,/product/9SIQT8TOJO,15427,141,49,103.51641326095,5.984631134197116,2298.9485701546073,7799.048810526998,3.3215643071740986,0.030358499209927264,6,29,49,92,110,120,190,290,700,1000,1900,2200,2300
GET,/product/L9ECAV7KIM,15399,126,53,102.98597504119856,6.247954908758402,2310.2852110750973,7766.4398337554385,3.31553566903312,0.027128871634403088,6,29,53,92,100,120,190,290,690,990,1900,2300,2300
GET,/product/LS4PSXUNUM,15497,120,52,104.97236210571488,6.279952824115753,2299.216873012483,7768.726398657805,3.336635902526545,0.025837020604193416,6,29,52,93,110,120,190,290,720,1000,1900,2200,2300
GET,/product/OLJCESPC7Z,15534,146,50,105.57479883018772,6.0886850114911795,2267.447113059461,7793.4967812540235,3.344602317212838,0.03143504173510199,6,29,50,92,100,120,200,290,740,1000,1900,2200,2300
POST,/setCurrency,19541,162,78,115.12126982140148,9.506226982921362,2083.3675051108003,10450.103321222046,4.207343496887863,0.034879977815661115,10,35,78,100,130,170,200,300,580,900,1800,2000,2100
,Aggregated,237895,2109,75,119.91905453221989,4.337510094046593,2581.8744997959584,10601.5260472057,51.22081680528827,0.4540856371186993,4,32,75,100,130,170,220,350,670,980,1900,2300,2600
