Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,9693,70,82,118.58261800907728,6.874808110296726,5079.296708106995,10457.012173733623,2.086992764995535,0.015071648978612136,7,32,82,100,140,180,250,340,600,790,1800,5100,5100
GET,/cart,19612,180,84,125.71041665104825,5.340428091585636,1989.4949719309807,15893.110391596982,4.222645425264874,0.03875566880214549,5,36,84,110,170,190,290,390,600,800,1300,2000,2000
POST,/cart,39302,367,110.0,162.58676016656233,4.758330062031746,2404.0147508494556,19025.126049564908,8.462084973677346,0.0790185025021522,5,68,110,180,200,220,310,400,510,700,1400,2300,2400
POST,/cart/checkout,9702,91,230.0,285.0702329132425,6.353561766445637,2399.901159107685,6747.732323232323,2.088930548435642,0.019593143672195775,6,160,230,300,360,390,500,620,890,1200,1600,2400,2400
GET,/product/0PUK6V6EV0,15237,144,68,111.69700435542885,6.465747021138668,2188.4646811522543,7731.966594473978,3.2806673641016157,0.031004535041716394,6,29,68,99,110,160,210,340,680,890,1400,1900,2200
GET,/product/1YMWWN1N4O,15069,119,68,114.97264287232852,7.22259609028697,2385.3925531730056,7748.550202402283,3.2444954065529465,0.025621803263640632,7,29,68,99,110,170,210,370,720,940,1400,2200,2400
GET,/product/2ZYFJ3GM2N,15239,125,69,113.45524675056897,6.821780931204557,2302.1717970259488,7755.779250606995,3.2810979826438618,0.026913658890378812,7,29,69,100,110,170,210,350,690,890,1400,1900,2300
GET,/product/66VCHSJNUP,15349,121,70,114.06510992859599,6.346055772155523,2204.7352893278003,7721.966577627207,3.304782002467395,0.02605242180588669,6,29,70,100,120,170,220,370,690,890,1300,2100,2200
GET,/product/6E92ZMYYFZ,15220,131,69,112.09536031593474,6.689901929348707,2247.7851938456297,7704.390538764783,3.2770071064925244,0.028205514517116996,7,29,69,100,110,170,210,320,660,880,1400,2000,2200
GET,/product/9SIQT8TOJO,15190,113,68,111.25270217955064,6.806251127272844,2108.138679061085,7759.850427913101,3.2705478283588336,0.02432994763690245,7,29,68,99,110,160,210,310,660,880,1300,2100,2100
GET,/product/L9ECAV7KIM,15404,121,69,113.70828091210444,6.670631002634764,1999.4616387411952,7717.736561931965,3.316624012379162,0.02605242180588669,7,29,69,100,120,170,210,350,690,890,1300,2000,2000
GET,/product/LS4PSXUNUM,15313,137,69,113.84427729942485,6.312503945082426,2258.1177060492337,7720.107425063671,3.2970308687069663,0.02949737014385518,6,29,69,100,110,170,210,350,700,900,1400,1900,2300
GET,/product/OLJCESPC7Z,15401,128,69,113.81647109814338,6.775879301130772,2282.9489279538393,7749.217713135511,3.315978084565793,0.027559586703747904,7,29,69,100,120,170,210,360,660,880,1600,2100,2300
POST,/setCurrency,19360,144,89,130.20857754721467,10.471035726368427,4896.210294682533,10456.282283057852,4.168387488941871,0.031004535041716394,10,36,89,110,180,190,290,390,600,810,1600,4800,4900
,Aggregated,235091,1991,88,131.2231237440575,4.758330062031746,5079.296708106995,10598.242654971904,50.61727185758436,0.42868075880595374,5,33,88,110,180,190,290,400,650,880,1400,2300,5100
