Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,9984,154,72,104.04650759252175,6.220859009772539,1751.1971578933299,10408.745693108975,2.149144645629525,0.03314986733042337,6,31,72,99,110,150,200,300,570,720,990,1800,1800
GET,/cart,19632,311,77,113.84756149666582,4.722199169918895,1770.4267038498074,15871.397921760392,4.225962307992672,0.06694551129715368,5,35,77,100,120,170,220,350,600,750,1100,1600,1800
POST,/cart,39590,612,110.0,141.57806830937653,4.522075178101659,2088.771724840626,18947.822328870927,8.522099010464032,0.13173843380661754,5,64,110,170,190,200,290,310,410,500,1300,1600,2100
POST,/cart/checkout,9792,172,210.0,263.7388920639495,6.6313068382442,1796.4196261018515,6730.6447099673205,2.1078149409058806,0.03702452714826506,7,140,210,290,320,360,470,600,910,1100,1400,1800,1800
GET,/product/0PUK6V6EV0,15505,216,60,106.67554035586699,6.352054886519909,1983.5572151932865,7711.672621734924,3.3375889153130798,0.046495917814100306,6,29,60,96,110,130,200,360,690,860,1200,1900,2000
GET,/product/1YMWWN1N4O,15397,229,61,107.33081898059544,6.329766009002924,1935.9435238875449,7720.176268104176,3.3143409564060295,0.049294283238097085,6,29,61,96,110,130,200,350,690,870,1300,1900,1900
GET,/product/2ZYFJ3GM2N,15421,232,61,105.8540847622481,6.472861859947443,1948.486811015755,7728.925166980092,3.3195071694964855,0.04994005987440403,6,29,61,95,110,130,200,330,690,830,1300,1800,1900
GET,/product/66VCHSJNUP,15666,240,60,106.03642335020852,6.08920818194747,1888.2201111409813,7694.959849355292,3.372245594794886,0.051662130904555896,6,29,60,95,110,130,200,340,690,880,1200,1800,1900
GET,/product/6E92ZMYYFZ,15340,218,60,105.18091774885293,6.4286470878869295,1982.8173909336329,7681.676140808344,3.3020712003161976,0.046926435571638274,6,29,60,95,110,130,200,330,680,810,1200,1900,2000
GET,/product/9SIQT8TOJO,15276,228,60,105.43631507444938,6.06534187681973,1539.0292999800295,7729.294972505892,3.2882946320749826,0.0490790243593281,6,29,60,96,110,130,200,340,680,850,1200,1500,1500
GET,/product/L9ECAV7KIM,15525,241,60,106.1170402923284,6.478846073150635,1987.3440039809793,7689.279420289855,3.3418940928884595,0.05187738978332488,6,29,60,95,110,130,200,360,680,830,1300,1900,2000
GET,/product/LS4PSXUNUM,15401,228,58,102.32001240319853,6.328735034912825,1993.8050110358745,7695.69255243166,3.3152019919211058,0.0490790243593281,6,29,58,95,110,130,200,300,610,800,1200,1700,2000
GET,/product/OLJCESPC7Z,15548,224,62,106.23624449647502,6.252361927181482,2099.905007984489,7724.52752765629,3.346845047100146,0.04821798884425217,6,29,62,97,110,130,200,330,690,840,1300,1800,2100
POST,/setCurrency,19789,277,83,114.01117914389,9.39157116226852,1800.4325039219111,10416.596998332407,4.259757951959402,0.059626709419008266,9,35,83,100,130,170,210,300,590,740,1100,1800,1800
,Aggregated,237866,3582,81,119.46612075438999,4.522075178101659,2099.905007984489,10551.213843088126,51.202768457262884,0.7710573037504967,5,32,81,110,140,180,250,380,620,810,1300,1800,2100
