Timestamp,User Count,Type,Name,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1756324463,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1756324464,1,,Aggregated,0.000000,0.000000,140,140,140,140,140,140,140,140,140,140,140,140,140,1,0,135.54407004266977,135.54407004266977,135.54407004266977,135.54407004266977,7865.0
1756324465,1,,Aggregated,0.000000,0.000000,38,38,140,140,140,140,140,140,140,140,140,140,140,2,0,38,86.61445055622607,37.684831069782376,135.54407004266977,7865.0
1756324466,1,,Aggregated,0.000000,0.000000,38,38,55,55,140,140,140,140,140,140,140,140,140,3,0,55,76.08036231249571,37.684831069782376,135.54407004266977,8723.0
1756324467,1,,Aggregated,1.000000,0.000000,33,38,55,55,140,140,140,140,140,140,140,140,140,4,0,38,65.40831393795088,33.39216881431639,135.54407004266977,8519.0
1756324468,1,,Aggregated,1.000000,0.000000,33,38,55,81,140,140,260,260,260,260,260,260,260,7,0,55,91.29566479740399,33.39216881431639,256.87564490363,9312.0
1756324469,1,,Aggregated,1.000000,0.000000,30,38,55,81,140,140,260,260,260,260,260,260,260,8,0,39,83.60993157839403,29.809799045324326,256.87564490363,9134.875
1756324470,1,,Aggregated,1.200000,0.000000,30,33,39,55,81,140,260,260,260,260,260,260,260,9,0,39,77.65781672464476,29.809799045324326,256.87564490363,8997.0
1756324471,1,,Aggregated,1.166667,0.000000,30,30,39,55,81,140,260,260,260,260,260,260,260,10,0,38,72.84390265122056,29.5186759904027,256.87564490363,8784.6
1756324472,1,,Aggregated,1.142857,0.000000,30,30,38,55,81,81,140,260,260,260,260,260,260,11,0,38,69.36520922251724,29.5186759904027,256.87564490363,8700.818181818182
1756324473,1,,Aggregated,1.125000,0.000000,30,31,38,39,81,81,140,260,260,260,260,260,260,12,0,35,66.16435527879123,29.5186759904027,256.87564490363,8545.333333333334
1756324474,1,,Aggregated,1.111111,0.000000,30,31,37,39,81,110,140,260,260,260,260,260,260,15,0,37,65.04488846597572,29.5186759904027,256.87564490363,8913.333333333334
1756324475,1,,Aggregated,1.111111,0.000000,30,31,37,39,81,110,140,260,260,260,260,260,260,15,0,37,65.04488846597572,29.5186759904027,256.87564490363,8913.333333333334
1756324476,1,,Aggregated,1.100000,0.000000,30,33,37,39,81,81,140,260,260,260,260,260,260,16,0,35,63.073051685933024,29.5186759904027,256.87564490363,8851.9375
1756324477,1,,Aggregated,1.100000,0.000000,30,33,37,55,77,81,140,260,260,260,260,260,260,17,0,37,63.89315935837872,29.5186759904027,256.87564490363,8794.764705882353
1756324478,1,,Aggregated,1.300000,0.000000,30,33,38,47,77,81,140,260,260,260,260,260,260,18,0,37,62.94722412712872,29.5186759904027,256.87564490363,8886.111111111111
1756324479,1,,Aggregated,1.300000,0.000000,30,33,37,47,77,81,140,260,260,260,260,260,260,19,0,37,61.39031295223456,29.5186759904027,256.87564490363,8836.052631578947
1756324480,1,,Aggregated,1.300000,0.000000,30,33,37,40,55,77,110,140,260,260,260,260,260,21,0,37,59.181417382898786,29.5186759904027,256.87564490363,9154.52380952381
1756324481,1,,Aggregated,1.200000,0.000000,30,33,37,40,55,77,110,140,260,260,260,260,260,22,0,36,57.99102618105032,29.5186759904027,256.87564490363,9096.818181818182
1756324482,1,,Aggregated,1.200000,0.000000,30,33,37,39,55,77,110,140,260,260,260,260,260,24,0,36,56.10689670235539,29.5186759904027,256.87564490363,9413.083333333334
1756324483,1,,Aggregated,1.300000,0.000000,30,33,37,39,47,77,110,140,260,260,260,260,260,25,0,37,55.35674795508385,29.5186759904027,256.87564490363,9456.92
1756324484,1,,Aggregated,1.300000,0.000000,30,33,37,39,47,55,110,140,260,260,260,260,260,26,0,36,54.53586492400903,29.5186759904027,256.87564490363,9780.923076923076
1756324485,1,,Aggregated,1.400000,0.000000,30,33,36,38,47,55,110,140,260,260,260,260,260,27,0,36,53.79240319167298,29.5186759904027,256.87564490363,10080.333333333334
1756324486,1,,Aggregated,1.400000,0.000000,30,33,36,38,47,55,110,140,260,260,260,260,260,28,0,35,53.12692364844094,29.5186759904027,256.87564490363,10003.285714285714
1756324487,1,,Aggregated,1.200000,0.000000,30,33,36,39,55,65,81,140,260,260,260,260,260,31,0,36,53.38293535544747,29.5186759904027,256.87564490363,10129.90322580645
1756324488,1,,Aggregated,1.200000,0.000000,30,33,36,39,55,69,110,140,260,260,260,260,260,34,0,35,54.689849035211786,29.5186759904027,256.87564490363,10148.64705882353
1756324489,1,,Aggregated,1.100000,0.000000,30,33,35,39,55,69,110,140,260,260,260,260,260,35,0,35,54.00368363729545,29.5186759904027,256.87564490363,10082.828571428572
1756324490,1,,Aggregated,1.300000,0.000000,30,33,35,38,55,65,110,140,260,260,260,260,260,36,0,35,53.440040844078695,29.5186759904027,256.87564490363,10022.777777777777
1756324491,1,,Aggregated,1.500000,0.000000,30,33,35,38,47,65,110,140,260,260,260,260,260,37,0,35,52.866112333848264,29.5186759904027,256.87564490363,9964.72972972973
1756324492,1,,Aggregated,1.400000,0.000000,30,33,35,38,47,65,110,140,260,260,260,260,260,38,0,34,52.33279464300722,29.5186759904027,256.87564490363,9976.71052631579
1756324493,1,,Aggregated,1.400000,0.000000,30,33,35,38,47,65,110,140,260,260,260,260,260,38,0,34,52.33279464300722,29.5186759904027,256.87564490363,9976.71052631579
1756324494,2,,Aggregated,1.400000,0.000000,29,33,35,38,55,69,110,140,260,260,260,260,260,40,0,34,52.57906969054602,29.365929076448083,256.87564490363,9845.875
1756324495,2,,Aggregated,1.300000,0.000000,28,33,34,38,47,65,85,140,260,260,260,260,260,42,0,34,51.54828084743626,27.88058086298406,256.87564490363,9752.547619047618
1756324496,2,,Aggregated,1.300000,0.000000,28,33,34,38,47,65,85,140,260,260,260,260,260,44,0,34,50.60883856441995,27.88058086298406,256.87564490363,9667.59090909091
1756324497,2,,Aggregated,1.400000,0.000000,28,32,34,38,47,65,85,140,260,260,260,260,260,49,0,34,50.22717868833213,27.88058086298406,256.87564490363,9812.34693877551
1756324498,2,,Aggregated,1.500000,0.000000,28,33,34,37,47,59,81,140,140,260,260,260,260,52,0,34,49.349607720684546,27.88058086298406,256.87564490363,9893.346153846154
1756324499,3,,Aggregated,1.600000,0.000000,28,32,34,37,47,65,85,140,140,260,260,260,260,55,0,34,49.46283663369038,27.88058086298406,256.87564490363,9809.745454545455
1756324500,3,,Aggregated,2.100000,0.000000,28,32,34,37,42,59,85,140,140,260,260,260,260,58,0,34,48.68373905051628,27.88058086298406,256.87564490363,9754.48275862069
1756324501,3,,Aggregated,2.100000,0.000000,28,32,34,37,42,55,81,110,140,260,260,260,260,62,0,34,47.825222542028754,27.88058086298406,256.87564490363,9817.935483870968
1756324502,3,,Aggregated,2.100000,0.000000,26,32,34,37,42,47,81,110,140,260,260,260,260,66,0,34,46.98858364964976,25.534630054607987,256.87564490363,9868.424242424242
1756324503,3,,Aggregated,2.300000,0.000000,26,32,34,37,40,47,81,110,140,260,260,260,260,70,0,34,46.166225938525585,25.534630054607987,256.87564490363,9934.857142857143
1756324504,4,,Aggregated,2.900000,0.000000,26,32,34,37,39,44,81,110,140,260,260,260,260,74,0,34,45.481060250863635,25.534630054607987,256.87564490363,9895.297297297297
1756324505,4,,Aggregated,3.200000,0.000000,26,31,34,37,39,44,81,110,140,260,260,260,260,80,0,34,44.54692519502714,25.534630054607987,256.87564490363,9959.5625
1756324506,4,,Aggregated,3.300000,0.000000,26,31,34,37,39,44,77,92,140,260,260,260,260,86,0,34,44.15805900718497,25.534630054607987,256.87564490363,10098.697674418605
1756324507,4,,Aggregated,3.500000,0.000000,26,31,34,37,39,42,69,92,140,260,260,260,260,91,0,34,43.462342820590834,25.534630054607987,256.87564490363,10228.857142857143
1756324508,4,,Aggregated,3.900000,0.000000,26,31,33,37,39,42,69,92,140,260,260,260,260,96,0,33,42.848827710258774,25.534630054607987,256.87564490363,10240.958333333334
1756324509,5,,Aggregated,3.800000,0.000000,26,31,33,37,41,44,69,92,140,160,260,260,260,104,0,33,43.63026169504827,25.534630054607987,256.87564490363,10282.490384615385
1756324510,5,,Aggregated,4.000000,0.000000,26,31,33,36,39,44,69,92,140,160,260,260,260,109,0,33,43.005604570338484,25.534630054607987,256.87564490363,10251.743119266055
1756324511,5,,Aggregated,4.300000,0.000000,26,30,33,36,38,42,65,92,140,160,260,260,260,115,0,33,42.33821247015958,25.534630054607987,256.87564490363,10204.252173913044
1756324512,5,,Aggregated,4.800000,0.000000,26,30,33,36,39,44,69,92,140,160,260,260,260,120,0,33,42.4762823987597,25.534630054607987,256.87564490363,10098.108333333334
1756324513,5,,Aggregated,4.900000,0.000000,26,30,33,36,38,42,65,92,140,160,260,260,260,125,0,33,41.994398383423686,25.534630054607987,256.87564490363,10099.552
1756324514,6,,Aggregated,5.200000,0.000000,26,30,33,36,39,44,69,92,140,160,260,260,260,134,0,33,42.36982820152458,25.534630054607987,256.87564490363,10111.410447761195
1756324515,6,,Aggregated,5.300000,0.000000,26,30,33,36,41,44,69,92,140,160,260,260,260,143,0,33,42.68254515539099,25.534630054607987,256.87564490363,10075.713286713286
1756324516,6,,Aggregated,5.800000,0.000000,25,30,33,36,41,47,74,92,140,160,260,260,260,149,0,33,42.91327132987196,24.742941139265895,256.87564490363,9966.020134228187
1756324517,6,,Aggregated,6.300000,0.000000,23,30,33,36,41,45,74,92,140,160,260,260,260,154,0,33,42.48650701619781,23.378066020086408,256.87564490363,9892.363636363636
1756324518,6,,Aggregated,6.300000,0.000000,23,30,33,36,40,44,69,92,140,160,260,260,260,162,0,33,42.17836542923095,23.378066020086408,256.87564490363,9907.79012345679
1756324519,7,,Aggregated,6.500000,0.000000,23,30,33,37,40,44,69,92,140,160,260,260,260,170,0,33,41.795933512313404,23.378066020086408,256.87564490363,9962.0
1756324520,7,,Aggregated,6.600000,0.000000,23,30,33,37,39,44,69,92,140,160,260,260,260,180,0,33,41.89183841744024,23.378066020086408,256.87564490363,9944.538888888888
1756324521,7,,Aggregated,7.000000,0.000000,22,30,33,36,39,44,69,92,140,240,260,260,260,189,0,33,42.48826267325847,22.27993798442185,256.87564490363,9969.544973544973
1756324522,7,,Aggregated,7.100000,0.000000,22,30,33,37,40,44,73,95,140,160,260,260,260,201,0,33,43.06463023012884,22.27993798442185,256.87564490363,10074.980099502487
1756324523,7,,Aggregated,7.600000,0.000000,22,30,33,37,40,44,73,95,140,160,260,260,260,211,0,33,42.786350596245924,22.27993798442185,256.87564490363,10133.450236966824
1756324524,8,,Aggregated,7.800000,0.000000,22,30,33,37,40,45,73,95,140,160,260,260,260,219,0,33,42.750793478353856,22.27993798442185,256.87564490363,10088.004566210046
1756324525,8,,Aggregated,8.100000,0.000000,22,30,33,36,40,44,73,92,140,160,260,260,260,226,0,33,42.307693322716624,22.27993798442185,256.87564490363,10064.234513274336
1756324526,8,,Aggregated,8.300000,0.000000,22,30,33,36,39,44,69,92,140,160,260,260,260,234,0,33,41.7954674255278,22.27993798442185,256.87564490363,10069.52564102564
1756324527,8,,Aggregated,8.100000,0.000000,22,30,33,36,39,44,69,92,140,160,260,260,260,244,0,33,41.85542286675209,22.27993798442185,256.87564490363,10084.106557377048
1756324528,8,,Aggregated,8.300000,0.000000,22,29,33,36,39,44,69,95,130,160,260,260,260,256,0,33,41.652276807326416,22.27993798442185,256.87564490363,10123.9453125
1756324529,9,,Aggregated,8.600000,0.000000,22,29,33,36,40,44,73,97,140,240,260,260,260,270,0,33,42.46585843480985,22.27993798442185,256.87564490363,10150.248148148148
1756324530,9,,Aggregated,9.100000,0.000000,22,29,33,36,40,44,69,95,140,240,260,260,260,283,0,33,42.27488165698261,22.27993798442185,256.87564490363,10107.879858657243
1756324531,9,,Aggregated,9.400000,0.000000,22,29,33,36,39,44,69,95,140,240,260,260,260,292,0,33,41.89176365018707,22.27993798442185,256.87564490363,10071.40410958904
1756324532,9,,Aggregated,9.600000,0.000000,22,29,33,36,39,43,67,92,130,160,260,260,260,304,0,33,41.59267471818327,22.27993798442185,256.87564490363,10125.447368421053
1756324533,9,,Aggregated,9.900000,0.000000,22,29,33,36,39,43,67,95,130,160,260,260,260,313,0,33,41.56647719064959,22.27993798442185,256.87564490363,10131.076677316294
1756324534,10,,Aggregated,10.100000,0.000000,22,29,33,36,39,42,67,95,130,160,260,260,260,324,0,33,41.46974357951685,22.27993798442185,256.87564490363,10113.916666666666
1756324535,10,,Aggregated,10.400000,0.000000,22,29,33,36,39,42,69,97,130,160,260,260,260,337,0,33,41.58163057275404,22.27993798442185,256.87564490363,10125.53709198813
1756324536,10,,Aggregated,10.500000,0.000000,22,29,33,36,39,42,69,95,130,160,260,260,260,347,0,33,41.4628664317463,22.27993798442185,256.87564490363,10093.49855907781
1756324537,10,,Aggregated,11.100000,0.000000,22,29,32,36,39,42,73,95,130,160,260,260,260,357,0,32,41.45112304611742,22.27993798442185,256.87564490363,10026.042016806723
1756324538,10,,Aggregated,11.200000,0.000000,22,29,33,36,39,43,73,95,130,160,260,260,260,370,0,32,41.56066962656238,22.27993798442185,256.87564490363,10013.018918918919
1756324539,12,,Aggregated,11.300000,0.000000,22,29,32,36,39,43,69,92,130,160,260,260,260,383,0,32,41.282254747205045,22.27993798442185,256.87564490363,9985.639686684073
1756324540,12,,Aggregated,11.500000,0.000000,22,29,32,36,39,42,69,92,130,160,260,260,260,395,0,32,41.07072763498637,22.27993798442185,256.87564490363,9976.448101265823
1756324541,12,,Aggregated,11.400000,0.000000,22,29,32,36,39,42,69,92,120,140,260,260,260,411,0,32,40.93511455064671,22.27993798442185,256.87564490363,9997.043795620439
1756324542,12,,Aggregated,11.800000,0.000000,22,28,32,36,39,42,69,92,130,160,260,260,260,426,0,32,40.952462653253455,22.27993798442185,256.87564490363,9996.152582159624
1756324543,12,,Aggregated,12.000000,0.000000,22,28,32,35,39,42,69,92,130,160,260,260,260,439,0,32,40.891722189941376,22.27993798442185,256.87564490363,9996.0
1756324544,14,,Aggregated,12.200000,0.000000,22,28,32,36,39,43,69,92,130,160,260,260,260,450,0,32,40.92581163212243,22.27993798442185,256.87564490363,9958.948888888888
1756324545,14,,Aggregated,12.500000,0.000000,22,28,32,36,40,47,74,110,180,260,620,620,620,466,0,32,47.19259269043899,22.27993798442185,615.4612950049341,9915.375536480688
1756324546,14,,Aggregated,12.800000,0.000000,22,28,32,36,41,48,74,110,180,260,620,620,620,478,0,32,47.153799629489654,22.27993798442185,615.4612950049341,9885.73849372385
1756324547,14,,Aggregated,13.100000,0.000000,22,28,33,37,43,53,91,170,600,860,1100,1100,1100,494,0,33,63.803152386702386,22.27993798442185,1114.8709568660706,9966.904858299595
1756324548,14,,Aggregated,13.600000,0.000000,22,28,33,37,42,53,90,160,580,810,1100,1100,1100,509,0,33,63.05104245162754,22.27993798442185,1114.8709568660706,9973.320235756386
1756324549,16,,Aggregated,13.300000,0.000000,22,29,33,38,46,62,100,180,580,810,1100,1100,1100,532,0,33,65.15194311181321,22.27993798442185,1114.8709568660706,10012.69172932331
1756324550,16,,Aggregated,13.400000,0.000000,22,29,33,38,46,61,100,170,430,810,1100,1100,1100,554,0,33,64.24057120305994,22.27993798442185,1114.8709568660706,10026.960288808665
1756324551,16,,Aggregated,14.000000,0.000000,22,29,33,38,47,62,100,170,430,810,1100,1100,1100,573,0,33,63.57941557214405,22.27993798442185,1114.8709568660706,10011.157068062827
