Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,236,0,12,15.21603452117187,9.441565000088303,387.32831300058024,191.0,0.15368712234618023,0.0,9,11,12,13,13,14,16,17,31,100,390,390,390
GET,/api/v1/adminbasicservice/adminbasic/prices,217,0,12,14.04386709676519,9.51888899999176,340.2549889997317,1685.0,0.1413140065640725,0.0,10,11,12,13,13,14,15,16,18,26,340,340,340
GET,/api/v1/assuranceservice/assurances/types,269,0,6,7.394502970282533,4.78335500065441,157.70336300010968,108.0,0.17517727080984102,0.0,5,6,6,6,7,7,8,9,9,13,160,160,160
PUT,/api/v1/consignservice/consigns,262,0,17,22.121315568697113,13.229660999968473,369.6096760004366,389.9465648854962,0.1706187544690645,0.0,13,15,17,18,18,19,21,24,83,300,370,370,370
GET,/api/v1/contactservice/contacts/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,269,0,8,9.278579144989758,6.443511999350449,118.39845400027116,459.0,0.17517727080984102,0.0,6,7,8,9,9,9,10,12,25,44,120,120,120
GET,/api/v1/foodservice/foods/2021-07-14/Shang%20Hai/Su%20Zhou/D1345,497,0,36,53.86977421125965,28.841671000009228,450.2684099998078,1090.0,0.32365466019513384,0.0,29,34,36,38,41,43,110,170,280,320,450,450,450
POST,/api/v1/inside_pay_service/inside_payment,71954,354,10,27.398781428578793,1.1519139998199535,1513.6052559992095,71.64709397670734,46.85764068346209,0.23053068351927036,1,9,10,12,15,26,58,90,230,340,650,1100,1500
POST,/api/v1/orderOtherService/orderOther/refresh,1508,0,16,45.44604810940953,10.466145999998844,943.5945810000703,779.0,0.9820346631272873,0.0,10,14,16,18,31,37,90,240,370,440,690,940,940
POST,/api/v1/orderservice/order/refresh,1517,0,18,25.971054924858528,12.039017999995849,666.3232020000578,1314.0,0.9878956127082857,0.0,12,16,18,19,19,20,22,28,170,350,530,670,670
POST,/api/v1/preserveotherservice/preserveOther,128,128,72,105.11628865615563,56.6770750001524,481.796420000137,202.0,0.08335572737419945,0.08335572737419945,57,66,72,76,91,110,190,320,420,420,480,480,480
POST,/api/v1/preserveservice/preserve,130,130,73,125.11711226150929,57.08771599984175,641.1936260001312,192.0,0.08465816061442132,0.08465816061442132,57,66,73,98,130,150,260,410,500,630,640,640,640
POST,/api/v1/rebookservice/rebook,436,0,12,33.18284647934679,7.47133799995936,749.3644290007069,127.0,0.2839304463683669,0.0,7,10,12,13,14,16,75,130,320,500,750,750,750
GET,/api/v1/routeservice/routes/92708982-77af-4318-be25-57ccb0ff69ad,218,218,3,3.0136082798831723,2.003120000154013,7.2046929999487475,175.0,0.14196522318418345,0.14196522318418345,2,3,3,3,3,3,4,5,5,6,7,7,7
POST,/api/v1/travel2service/trips/left,382,0,38,180.88375315184265,26.168140000663698,1225.9784030002265,149.37434554973822,0.24876474888237649,0.0,26,33,38,220,270,320,510,680,900,980,1200,1200,1200
POST,/api/v1/travelplanservice/travelPlan/quickest,270,270,58,79.72375161481843,44.0890390000277,510.6472269999358,235.0,0.17582848742995197,0.17582848742995197,44,51,58,65,69,72,120,250,380,450,510,510,510
POST,/api/v1/travelservice/trips/left,138,0,220.0,273.708207920261,183.15558999984205,1078.9988719998291,327.0,0.08986789357530879,0.0,180,210,220,240,270,300,400,600,670,810,1100,1100,1100
POST,/api/v1/travelservice/trips/left_parallel,237,237,6,8.685410240488583,5.056589999185235,247.18541499987623,245.0,0.15433833896629118,0.15433833896629118,5,6,6,7,7,7,8,10,31,38,250,250,250
POST,/api/v1/users/login,9109,5663,8,6786.1895324620755,1.3317559996721684,60005.33443200038,139.78274234273795,5.931932192590491,3.6878397196882147,1,4,8,6700,12000,15000,23000,29000,37000,42000,55000,60000,60000
,Aggregated,87777,7000,10,730.4165522244821,1.1519139998199535,60005.33443200038,127.27509484261253,57.161841263477385,4.558516340776532,1,9,10,13,20,35,85,360,16000,23000,42000,55000,60000
