Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,728,0,13,16.068005168948517,8.914620000723517,284.4877010002165,191.0,0.15681439770719327,0.0,9,12,13,14,14,15,17,19,47,130,280,280,280
GET,/api/v1/adminbasicservice/adminbasic/prices,705,0,13,15.950677382975396,9.488218999649689,376.0100039999088,1685.0,0.15186009668072975,0.0,9,12,13,14,15,16,17,20,41,77,380,380,380
GET,/api/v1/assuranceservice/assurances/types,687,0,7,7.740290513827904,4.792624999936379,116.56224099988322,108.0,0.14798281761654092,0.0,5,6,7,7,8,8,9,10,12,31,120,120,120
PUT,/api/v1/consignservice/consigns,743,0,19,29.301583100936195,13.37177699952008,543.0240179998691,390.1399730820996,0.1600454635940173,0.0,13,17,19,20,22,23,27,80,240,280,540,540,540
GET,/api/v1/contactservice/contacts/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,687,0,8,13.108041254714193,6.397510000169859,552.0194450000417,459.0,0.14798281761654092,0.0,6,8,8,9,10,10,12,13,29,180,550,550,550
GET,/api/v1/foodservice/foods/2021-07-14/Shang%20Hai/Su%20Zhou/D1345,1418,0,40,65.24983450069526,27.13403800044034,1272.0531439999831,1090.0,0.305443428501099,0.0,27,36,40,43,47,55,130,220,310,410,890,1300,1300
POST,/api/v1/inside_pay_service/inside_payment,240424,0,11,52.3470289893806,5.686956000317878,5501.582189000146,72.0,51.788385651585486,0.0,6,9,11,14,32,46,95,240,480,710,2100,3700,5500
POST,/api/v1/orderOtherService/orderOther/refresh,4339,0,17,76.65287179903345,10.64517499980866,6322.137929999826,779.0,0.9346396588619665,0.0,11,14,17,27,38,64,180,380,600,870,2700,6300,6300
POST,/api/v1/orderservice/order/refresh,4341,0,18,27.396837686701822,12.510974999713653,771.6773100000864,1314.0,0.9350704676468764,0.0,13,17,18,20,21,21,25,51,160,270,670,770,770
POST,/api/v1/preserveotherservice/preserveOther,333,333,92,167.403013561515,58.40152099972329,2406.5559670002585,202.0,0.07172966268749363,0.07172966268749363,58,73,92,150,190,230,350,550,640,790,2400,2400,2400
POST,/api/v1/preserveservice/preserve,354,354,97,151.79532779380182,56.79971100016701,1366.1879410001347,192.0,0.07625315492904727,0.07625315492904727,57,72,98,140,180,220,300,390,530,570,1400,1400,1400
POST,/api/v1/rebookservice/rebook,1448,0,13,47.439162993784606,6.936558000234072,1749.1916019998826,127.0,0.3119055602747471,0.0,7,11,13,15,28,48,97,200,440,600,1300,1700,1700
GET,/api/v1/routeservice/routes/92708982-77af-4318-be25-57ccb0ff69ad,736,736,3,3.1849202567620383,1.8991199995070929,27.062378999744396,175.0,0.15853763284683275,0.15853763284683275,2,3,3,3,3,4,4,5,6,9,27,27,27
POST,/api/v1/travel2service/trips/left,1029,0,41,214.568172689026,25.800062999223883,3221.0338169998067,140.40816326530611,0.22165111983612895,0.0,26,35,41,210,270,340,600,820,1400,1800,3200,3200,3200
POST,/api/v1/travelplanservice/travelPlan/quickest,682,682,64,102.62738554981739,42.239331000018865,905.6507450000026,235.0,0.14690579565426623,0.14690579565426623,42,53,64,73,89,110,210,330,460,610,910,910,910
POST,/api/v1/travelservice/trips/left,354,0,290.0,416.4860978276641,184.5911860000342,1813.1315939999695,327.0,0.07625315492904727,0.0,180,220,290,410,490,590,780,1100,1300,1500,1800,1800,1800
POST,/api/v1/travelservice/trips/left_parallel,740,740,7,9.809947175671908,5.092539999168366,211.45427899955394,245.0,0.1593992504166525,0.1593992504166525,5,6,7,8,8,8,10,12,45,110,210,210,210
POST,/api/v1/users/login,10068,21,17000.0,18638.921384750152,1356.95721600041,62637.94320500028,368.4379221295193,2.168691423236294,0.0045234922415536526,1400,10000,17000,22000,25000,27000,34000,40000,46000,51000,60000,60000,63000
,Aggregated,269816,2866,11,746.6985823242853,1.8991199995070929,62637.94320500028,128.62784267797315,58.11955155462096,0.6173489887758461,2,9,11,18,41,57,180,610,16000,24000,44000,60000,63000
