Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,1680,13,16,406.4716318517799,8.905359999516804,112700.42870500038,190.97916666666666,0.3616566550291593,0.00279853364010659,9,14,16,19,21,23,60,230,1500,7000,67000,113000,113000
GET,/api/v1/adminbasicservice/adminbasic/prices,1702,15,16,377.55896135778687,9.415333999641007,60639.92194099956,1672.0188014101057,0.3663926350354935,0.0032290772770460652,9,14,16,19,21,23,49,250,3100,5900,60000,61000,61000
GET,/api/v1/assuranceservice/assurances/types,1625,3,8,88.65203913845018,4.976074000296649,54518.07653399919,108.15138461538461,0.34981670501332374,0.000645815455409213,5,7,8,10,11,11,15,22,250,1000,26000,55000,55000
PUT,/api/v1/consignservice/consigns,1634,29,23,306.9305732509172,12.56594600090466,61509.028231999764,387.53671970624237,0.35175415137955135,0.006242882735622393,13,19,23,26,30,33,220,640,3500,6800,60000,62000,62000
GET,/api/v1/contactservice/contacts/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1620,9,11,171.099236333965,6.77912299943273,28915.080032000333,458.0104938271605,0.348740345920975,0.0019374463662276391,7,9,11,13,15,16,23,220,1300,5100,26000,29000,29000
GET,/api/v1/foodservice/foods/2021-07-14/Shang%20Hai/Su%20Zhou/D1345,3299,30,52,537.6800656035114,8.616406999863102,61455.674234999606,1082.0287966050319,0.7101817291316646,0.0064581545540921305,9,43,52,65,140,250,490,1600,5700,10000,60000,61000,61000
POST,/api/v1/inside_pay_service/inside_payment,522420,1000,19,166.59894920746598,2.4596339990239358,121347.98429200055,72.13459094215382,112.46230340496035,0.21527181846973767,2,14,19,50,88,100,230,430,950,1900,16000,60000,121000
POST,/api/v1/orderOtherService/orderOther/refresh,10043,46,120.0,898.6563396857489,11.230119000174454,86810.90196400054,7736.136214278602,2.1619748728915753,0.009902503649607933,11,64,120,260,400,510,1400,3600,8000,16000,60000,64000,87000
POST,/api/v1/orderservice/order/refresh,10076,49,26,349.681454486117,10.922479999862844,66631.67657800022,1309.1344779674473,2.1690788429010768,0.010548319105017146,11,21,26,32,42,80,270,660,3100,6700,56000,65000,67000
POST,/api/v1/preserveotherservice/preserveOther,768,768,180.0,1503.2285434101166,14.236422999601928,60631.993782999416,202.5390625,0.16532875658475854,0.16532875658475854,14,96,180,340,500,700,2400,5200,15000,29000,61000,61000,61000
POST,/api/v1/preserveservice/preserve,756,756,190.0,1427.8705086838434,15.370592000181205,60005.72982599988,194.58201058201058,0.16274549476312167,0.16274549476312167,15,98,190,320,540,790,2700,6400,13000,20000,60000,60000,60000
POST,/api/v1/rebookservice/rebook,34137,19,18,193.91704376333615,7.168342999648303,65620.26489699929,124.83071154465829,7.348734067101435,0.004090164550925016,7,13,18,33,83,99,230,490,1500,3000,20000,61000,66000
GET,/api/v1/routeservice/routes/92708982-77af-4318-be25-57ccb0ff69ad,1615,1615,4,16.714771819208277,2.3187599999801023,3374.0634100013267,175.0,0.3476639868286263,0.3476639868286263,2,3,4,5,5,6,8,10,20,200,3300,3400,3400
POST,/api/v1/travel2service/trips/left,2445,71,140.0,1933.6167489914055,23.90739400016173,66701.00320600068,144.2912065439673,0.5263395961585086,0.015284299111351375,24,46,140,460,700,950,3400,9000,24000,45000,62000,67000,67000
POST,/api/v1/travelplanservice/travelPlan/quickest,1737,1737,90,925.0607515290416,9.576095999364043,61466.000955999334,235.29706390328153,0.37392714868193433,0.37392714868193433,10,67,90,170,280,350,1300,3700,9800,16000,61000,61000,61000
POST,/api/v1/travelservice/trips/left,818,53,540.0,3278.8158262774905,19.26046999869868,64999.64155900034,319.4083129584352,0.17609234750824543,0.011409406378896097,19,320,540,870,1500,2300,7200,15000,37000,60000,65000,65000,65000
POST,/api/v1/travelservice/trips/left_parallel,1573,1573,9,60.92029789130945,5.503029000465176,14494.167236000067,245.0,0.33862257045289734,0.33862257045289734,6,8,9,10,11,12,16,29,230,680,13000,14000,14000
POST,/api/v1/users/login,23658,242,980.0,2798.298253279224,7.704075000219746,126223.64451500017,367.07502747484995,5.092900681357054,0.052095780069676516,8,450,980,2100,3600,4300,6200,7700,14000,28000,64000,78000,126000
,Aggregated,621606,8028,21,302.12147364365137,2.3187599999801023,126223.64451500017,244.19913900444976,133.81425399169976,1.728202158675054,2,14,21,64,99,140,350,780,2900,5400,30000,63000,126000
