Timestamp,User Count,Type,Name,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1751822219,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1751822220,1,,Aggregated,0.000000,0.000000,110,110,290,290,290,290,290,290,290,290,290,290,290,2,0,113.00476799988246,201.31210499994268,113.00476799988246,289.6194420000029,1026.5
1751822221,1,,Aggregated,0.000000,0.000000,14,110,290,290,320,320,320,320,320,320,320,320,320,4,0,110.0,183.05666524997832,13.786337999590614,315.8161130004373,653.0
1751822222,1,,Aggregated,0.000000,0.000000,14,110,290,290,320,320,320,320,320,320,320,320,320,4,0,110.0,183.05666524997832,13.786337999590614,315.8161130004373,653.0
1751822223,1,,Aggregated,0.000000,0.000000,14,42,290,290,320,320,320,320,320,320,320,320,320,6,0,110.0,182.19557800011899,13.786337999590614,318.53806100025395,678.3333333333334
1751822224,1,,Aggregated,1.333333,0.000000,14,18,110,290,320,320,320,320,320,320,320,320,320,10,0,42,148.0276806000802,13.786337999590614,321.1332589999074,1248.4
1751822225,1,,Aggregated,1.500000,0.000000,14,32,110,290,320,320,320,320,320,320,320,320,320,12,0,42,151.29591116677452,13.786337999590614,321.1332589999074,1161.8333333333333
1751822226,1,,Aggregated,1.500000,0.000000,14,32,110,290,320,320,320,320,320,320,320,320,320,12,0,42,151.29591116677452,13.786337999590614,321.1332589999074,1161.8333333333333
1751822227,1,,Aggregated,1.200000,0.000000,14,32,110,300,310,320,320,320,320,320,320,320,320,14,0,42,154.45297628587338,13.786337999590614,321.1332589999074,1100.0
1751822228,1,,Aggregated,1.714286,0.000000,14,34,110,300,310,310,320,320,320,320,320,320,320,16,1,50,157.03825893768908,13.786337999590614,321.1332589999074,1000.1875
