Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,2047,0,16,20.282192668231286,9.395984998263884,605.8432200006791,191.0,0.5387134352309674,0.0,9,13,16,18,19,20,23,28,72,150,450,610,610
GET,/api/v1/adminbasicservice/adminbasic/prices,2100,0,16,20.79432740378598,8.81085999935749,437.86311199801276,1685.0,0.552661560324881,0.0,9,14,16,18,19,20,23,28,81,190,390,440,440
GET,/api/v1/assuranceservice/assurances/types,2067,0,8,9.70632258103562,5.429152999568032,265.2401689992985,108.0,0.5439768786626329,0.0,5,7,8,9,10,11,12,14,18,22,230,270,270
GET,/api/v1/contactservice/contacts/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2066,1,12,14.507977223682877,6.9813650006835815,475.08696500153746,458.7778315585673,0.5437137064910496,0.00026317217158327666,7,10,12,13,14,15,17,20,37,84,300,480,480
GET,/api/v1/foodservice/foods/2021-07-14/Shang%20Hai/Su%20Zhou/D1345,4113,6,88,141.28441857819385,30.163191000610823,6032.03656900223,607.2244104060296,1.082427141722017,0.00157903302949966,30,54,88,120,140,160,270,400,590,760,5100,6000,6000
POST,/api/v1/orderOtherService/orderOther/refresh,11928,11928,3800.0,5117.098675362321,2.925698001490673,60052.46575599813,178.25553319919518,3.139117662645324,3.139117662645324,3,1800,3800,5400,6500,7300,9500,12000,22000,37000,60000,60000,60000
POST,/api/v1/orderservice/order/refresh,12069,12069,3400.0,4391.653677353192,3.079901998717105,60008.144659997924,163.14814814814815,3.176224938838566,3.176224938838566,3,1500,3400,4900,5900,6500,8300,10000,21000,33000,54000,60000,60000
POST,/api/v1/preserveotherservice/preserveOther,380,190,3200.0,3401.6693676842397,17.30166599736549,57625.323244003084,139.0,0.10000542520164514,0.05000271260082257,17,1300,3200,3700,4000,4300,4900,6600,20000,24000,58000,58000,58000
POST,/api/v1/preserveservice/preserve,369,199,2900.0,3515.928288582595,362.87501299739233,60008.01158499962,140.73712737127371,0.09711053131422909,0.05237126214507206,360,1100,2900,3600,3900,4100,5000,6500,25000,38000,60000,60000,60000
GET,/api/v1/routeservice/routes/92708982-77af-4318-be25-57ccb0ff69ad,2004,2004,4,4.477712324332171,2.445538000756642,44.70523400232196,175.0,0.5273970318528864,0.5273970318528864,2,3,4,4,5,5,6,7,9,14,35,45,45
POST,/api/v1/travel2service/trips/left,3091,196,210.0,869.0625238291896,42.236779001541436,60005.79953700071,161.39663539307668,0.8134651823639082,0.05158174563032223,42,100,210,580,830,980,1300,1800,3700,15000,57000,60000,60000
POST,/api/v1/travelplanservice/travelPlan/quickest,2010,188,500.0,2226.514920657747,91.87997399931191,60011.529100996995,389.9502487562189,0.5289760648823861,0.049476368257656014,92,230,500,1700,2900,3500,5000,6300,11000,28000,60000,60000,60000
POST,/api/v1/travelservice/trips/left,1032,69,220.0,849.5350159777191,45.41018699819688,60004.234121999616,155.33527131782947,0.2715936810739415,0.01815887983924609,45,110,220,550,740,840,1200,1700,3100,9600,56000,60000,60000
POST,/api/v1/travelservice/trips/left_parallel,2134,2134,9,14.448460140149123,5.602006000117399,822.9863679989649,245.0,0.5616094141587125,0.5616094141587125,6,8,9,10,11,12,14,17,48,220,510,820,820
POST,/api/v1/users/login,28869,170,410.0,855.24569516388,1.0697020006773528,8418.920407999394,365.79129862482245,7.597517421437614,0.044739269169157034,1,350,410,600,740,900,2500,3300,4000,4500,6200,7800,8400
,Aggregated,76279,29154,410.0,1967.9615600685083,1.0697020006773528,60052.46575599813,323.47858519382794,20.07451007620076,7.672521490338848,1,77,410,1200,2500,3300,5500,7700,11000,16000,60000,60000,60000
