Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,1552,6,16,160.8781929898186,9.665176999988034,56466.499864007346,191.04832474226805,0.33410696143782775,0.0012916506241153136,10,13,16,19,21,23,47,230,1500,3700,13000,56000,56000
GET,/api/v1/adminbasicservice/adminbasic/prices,1537,13,16,265.62337756347637,9.796210986678489,60008.12806499016,1672.6623292127522,0.33087783487753947,0.002798576352249846,10,14,16,19,21,24,220,630,3100,6400,28000,60000,60000
GET,/api/v1/assuranceservice/assurances/types,1577,0,8,95.29680095687155,5.14174900308717,19873.408690997167,108.0,0.33948883903830823,0.0,5,7,8,10,11,12,17,80,420,2100,15000,20000,20000
PUT,/api/v1/consignservice/consigns,1520,8,23,326.40515522704703,13.408608007011935,60008.662324005854,387.5763157894737,0.3272181581092128,0.0017222008321537514,13,19,23,26,30,33,230,580,3200,6600,44000,60000,60000
GET,/api/v1/contactservice/contacts/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1570,2,11,181.22038228920576,7.0771129976492375,66385.17058400612,458.596178343949,0.3379819133101737,0.00043055020803843785,7,9,11,13,15,16,26,220,1700,5200,13000,66000,66000
GET,/api/v1/foodservice/foods/2021-07-14/Shang%20Hai/Su%20Zhou/D1345,3148,46,58,767.965554340906,7.630473002791405,63860.897087011836,1077.5330368487928,0.6776860274525012,0.009902654784884071,8,45,58,110,250,280,780,2900,8300,14000,60000,64000,64000
POST,/api/v1/inside_pay_service/inside_payment,498100,734,18,170.70535547636482,3.4218759974464774,125004.44663300004,72.06298935956636,107.22852931197295,0.1580119263501067,3,13,18,36,75,98,230,430,920,1700,26000,60000,125000
POST,/api/v1/orderOtherService/orderOther/refresh,9428,69,98,1005.204750670303,10.02560400229413,73361.53467799886,7298.36953754773,2.029613680693196,0.014853982177326105,10,60,98,250,410,560,1700,4000,9800,16000,60000,73000,73000
POST,/api/v1/orderservice/order/refresh,9469,41,28,563.7342838584933,13.38601199677214,61526.76652898663,1309.1614742845074,2.038439959957984,0.008826279264787976,13,22,28,43,110,200,490,1500,6100,12000,60000,62000,62000
POST,/api/v1/preserveotherservice/preserveOther,730,730,200.0,1309.2531438918118,62.620354001410306,60627.286689996254,202.94246575342467,0.15715082593402982,0.15715082593402982,63,100,210,360,520,750,1900,5700,14000,23000,61000,61000,61000
POST,/api/v1/preserveservice/preserve,782,782,190.0,1402.2619870643618,6.722802005242556,61459.81017299346,191.9526854219949,0.1683451313430292,0.1683451313430292,7,98,190,340,560,700,2500,5100,14000,26000,61000,61000,61000
POST,/api/v1/rebookservice/rebook,30792,247,16,144.62442507341225,6.667446999927051,73221.85696499946,125.98577552611067,6.628751002959789,0.05317295069274707,7,12,16,21,35,55,150,290,730,1700,19000,60000,73000
GET,/api/v1/routeservice/routes/92708982-77af-4318-be25-57ccb0ff69ad,1605,1605,4,12.255832877811958,2.2917580063221976,2620.0943650037516,175.0,0.34551654195084636,0.34551654195084636,2,3,4,5,5,6,7,11,20,170,1500,2600,2600
POST,/api/v1/travel2service/trips/left,2372,54,210.0,1729.4392342058056,7.851682996260934,63107.77198099822,140.81197301854974,0.5106325467335873,0.011624855617037822,8,47,210,460,750,1100,3300,7900,17000,31000,61000,63000,63000
POST,/api/v1/travelplanservice/travelPlan/quickest,1605,1605,100.0,1407.5949013582263,16.82882999011781,73269.52940199408,234.85919003115265,0.34551654195084636,0.34551654195084636,17,69,100,240,360,540,2000,5200,15000,30000,67000,73000,73000
POST,/api/v1/travelservice/trips/left,821,26,710.0,3468.2554690313655,8.385534005356021,65771.35959999578,323.06211936662606,0.17674086039977874,0.005597152704499692,8,400,710,1300,2200,3300,9200,16000,28000,59000,66000,66000,66000
POST,/api/v1/travelservice/trips/left_parallel,1579,1579,9,91.65413486313992,5.482936991029419,60646.653365998645,244.09373020899304,0.3399193892463467,0.3399193892463467,5,8,9,10,11,12,17,59,260,680,20000,61000,61000
POST,/api/v1/users/login,22480,255,1200.0,3123.8137421606493,2.8043110069120303,106476.48781799944,367.14639679715305,4.839384338352041,0.05489515152490083,3,500,1200,2300,3400,4200,6500,8600,22000,37000,65000,99000,106000
,Aggregated,590667,7802,19,321.5890277087887,2.2917580063221976,125004.44663300004,235.17902980867393,127.15589986571999,1.679576361557946,2,13,19,49,92,130,350,830,2900,5700,52000,64000,125000
