Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,1098,15,17,350.5391302019805,10.998159181326628,60009.83430398628,192.27959927140256,0.23644102671320713,0.0032300686709454524,11,15,17,20,22,27,150,640,3400,10000,32000,60000,60000
GET,/api/v1/adminbasicservice/adminbasic/prices,1151,7,18,463.0333099337853,10.403197258710861,86548.22907969356,1676.5760208514334,0.2478539360172144,0.0015073653797745446,10,15,18,20,22,27,130,430,4100,9200,60000,87000,87000
GET,/api/v1/assuranceservice/assurances/types,1110,4,9,154.0037077843203,5.9903208166360855,48197.525694034994,107.88468468468469,0.2390250816499635,0.000861351645585454,6,8,9,10,11,12,17,200,1000,3100,13000,48000,48000
GET,/api/v1/cancelservice/cancel/d3c91694-d5b8-424c-9974-e14c89226e49/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,22000.0,24104.999893112108,21848.397384397686,26361.60240182653,41.0,0.000430675822792727,0.0,22000,22000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
PUT,/api/v1/consignservice/consigns,1046,23,25,405.46288339503064,6.393201649188995,48112.875815015286,385.04110898661565,0.22524345532059623,0.0049527719621163604,6,22,25,29,36,71,230,1100,6300,10000,24000,48000,48000
GET,/api/v1/contactservice/contacts/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1103,10,12,304.85878069821746,7.369005121290684,27331.557251978666,457.6500453309157,0.23751771627018894,0.002153379113963635,7,10,12,13,15,16,38,360,4700,9000,27000,27000,27000
GET,/api/v1/executeservice/execute/collected/d3c91694-d5b8-424c-9974-e14c89226e49,2,0,110.0,127.0208319183439,107.14643215760589,146.89523167908192,51.0,0.000430675822792727,0.0,110,110,150,150,150,150,150,150,150,150,150,150,150
GET,/api/v1/executeservice/execute/execute/5ad7750b-a68b-49c0-a8c0-32776b067703,2,0,230.0,281.15960233844817,225.0123438425362,337.3068608343601,51.0,0.000430675822792727,0.0,230,230,340,340,340,340,340,340,340,340,340,340,340
GET,/api/v1/executeservice/execute/execute/d3c91694-d5b8-424c-9974-e14c89226e49,1,0,6347.076471429318,6347.076471429318,6347.076471429318,6347.076471429318,51.0,0.0002153379113963635,0.0,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300
GET,/api/v1/foodservice/foods/2021-07-14/Shang%20Hai/Su%20Zhou/D1345,2191,69,62,1170.4954320287723,12.095577083528042,86676.99426691979,1064.6567777270652,0.47180536386943245,0.014858315886349081,12,47,62,130,220,280,840,4000,14000,30000,61000,87000,87000
POST,/api/v1/inside_pay_service/inside_payment,313094,744,16,220.84187356144741,6.445417646318674,125008.34747590125,72.58054450101247,67.42100803073303,0.16021140607889445,6,12,16,25,67,96,230,490,1200,2700,52000,65000,125000
POST,/api/v1/orderOtherService/orderOther/refresh,6494,74,29,977.8216846557871,12.787059880793095,112474.08354701474,1356.75346473668,1.3984043966079847,0.0159350054433309,13,21,29,89,200,290,1000,3300,11000,22000,61000,112000,112000
