Count,Message,Traceback,Nodes
30,unsupported operand type(s) for +: 'NoneType' and 'list',"  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 340, in run
    self.execute_next_task()
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 385, in execute_task
    task(self)
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 332, in query_and_rebook_use
    self.query_and_rebook(headers=headers)
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 983, in query_and_rebook
    pairs = pairs + pairs2
            ~~~~~~^~~~~~~~
",local
50,unsupported operand type(s) for +: 'NoneType' and 'list',"  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 340, in run
    self.execute_next_task()
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 385, in execute_task
    task(self)
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 315, in query_and_put_consign_use
    pairs = pairs + pairs2
            ~~~~~~^~~~~~~~
",local
24,"can only concatenate list (not ""NoneType"") to list","  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 340, in run
    self.execute_next_task()
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 385, in execute_task
    task(self)
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 369, in query_order_and_pay_use
    pairs = pairs + pairs2
            ~~~~~~^~~~~~~~
",local
14,"can only concatenate list (not ""NoneType"") to list","  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 340, in run
    self.execute_next_task()
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 385, in execute_task
    task(self)
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 285, in query_and_collect_ticket_use
    self.query_and_collect_ticket(headers=headers)
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 929, in query_and_collect_ticket
    pairs = pairs + pairs2
            ~~~~~~^~~~~~~~
",local
17,unsupported operand type(s) for +: 'NoneType' and 'list',"  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 340, in run
    self.execute_next_task()
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 385, in execute_task
    task(self)
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 297, in query_and_enter_station_use
    self.query_and_enter_station(headers=headers)
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 947, in query_and_enter_station
    pairs = pairs + pairs2
            ~~~~~~^~~~~~~~
",local
4,'TrainTicketUserTasks' object has no attribute 'self',"  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 340, in run
    self.execute_next_task()
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 385, in execute_task
    task(self)
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 186, in query_and_preserve_use
    _ = self.query_assurances(headers=headers)
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 501, in query_assurances
    self.self.logger.warning(f""query assurance failed, response data is {response.json()}"")
    ^^^^^^^^^
",local
12,"can only concatenate str (not ""NoneType"") to str","  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 340, in run
    self.execute_next_task()
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 385, in execute_task
    task(self)
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 363, in query_order_and_pay_use
    headers[""Authorization""] = ""Bearer "" + token
                 ~~~~~~~~~~^~~~~~~
",local
32,Expecting value: line 1 column 1 (char 0),"  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 340, in run
    self.execute_next_task()
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 385, in execute_task
    task(self)
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 424, in query_travel_left_use
    self.query_travel_left(headers=headers)
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 1051, in query_travel_left
    trip_ids = self.query_normal_ticket(place_pair=other_place_pair, headers=headers, time=time.strftime(""%Y-%m-%d"", time.localtime()))
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 486, in query_normal_ticket
    self.logger.warning(f""request for {url} failed. response data is {response.json()}"")
                                                                      ^^^^^^^^^^^^^^^
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/requests/models.py"", line 978, in json
    raise RequestsJSONDecodeError(e.msg, e.doc, e.pos)
",local
19,Expecting value: line 1 column 1 (char 0),"  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 340, in run
    self.execute_next_task()
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 385, in execute_task
    task(self)
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 181, in query_and_preserve_use
    trip_ids = self.query_normal_ticket(place_pair=other_place_pair, headers=headers, time=tomorrow)
               ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 486, in query_normal_ticket
    self.logger.warning(f""request for {url} failed. response data is {response.json()}"")
                                                                      ^^^^^^^^^^^^^^^
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/requests/models.py"", line 978, in json
    raise RequestsJSONDecodeError(e.msg, e.doc, e.pos)
",local
50,Expecting value: line 1 column 1 (char 0),"  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 340, in run
    self.execute_next_task()
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 373, in execute_next_task
    self.execute_task(self._task_queue.popleft())
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/locust/user/task.py"", line 385, in execute_task
    task(self)
  File ""/home/ubuntu/evaluation/load_generator_trainticket.py"", line 241, in query_and_preserve_use
    print(res.json())
          ^^^^^^^^^^
  File ""/home/ubuntu/evaluation/.venv/lib/python3.12/site-packages/requests/models.py"", line 978, in json
    raise RequestsJSONDecodeError(e.msg, e.doc, e.pos)
",local
