Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,2090,0,16,22.86665255413279,10.159039869904518,2617.4146090634167,191.0,0.45002055532258417,0.0,10,14,16,18,19,20,23,55,89,160,560,2600,2600
GET,/api/v1/adminbasicservice/adminbasic/prices,2108,0,16,28.442657426745406,10.083898901939392,9072.779481764883,1685.0,0.45389633044019495,0.0,10,14,16,18,19,20,24,54,150,230,580,9100,9100
GET,/api/v1/assuranceservice/assurances/types,2059,0,9,16.60908297750956,5.424655042588711,3878.379901405424,108.0,0.4433456092866989,0.0,5,8,9,10,11,11,13,16,41,90,1800,3900,3900
PUT,/api/v1/consignservice/consigns,2154,0,22,38.40012852073982,13.072570320218801,8677.758456207812,389.61095636026,0.4638010890740891,0.0,13,19,22,24,26,28,42,99,220,320,590,8700,8700
GET,/api/v1/contactservice/contacts/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2059,0,11,29.815394171495978,7.038728334009647,5694.661188870668,459.0,0.4433456092866989,0.0,7,10,11,12,13,14,16,21,87,130,5400,5700,5700
GET,/api/v1/foodservice/foods/2021-07-14/Shang%20Hai/Su%20Zhou/D1345,4159,0,48,86.26937948684153,30.506408773362637,9592.100431211293,1090.0,0.8955193730079557,0.0,31,42,48,53,62,78,160,260,420,570,1100,9600,9600
POST,/api/v1/inside_pay_service/inside_payment,679167,0,16,82.39657111972559,6.603378802537918,18753.852718044072,71.99994699389104,146.23880885013088,0.0,7,12,16,31,61,77,140,310,660,1100,4300,11000,19000
POST,/api/v1/orderOtherService/orderOther/refresh,12703,1,24,78.49095480033112,13.093708083033562,10271.425396669656,1274.694639061639,2.735220628833869,0.00021532083986726514,13,20,24,28,31,36,150,310,650,1100,3200,8800,10000
POST,/api/v1/orderservice/order/refresh,12710,0,24,110.95165938632101,14.069480821490288,18286.42922407016,1314.0,2.73672787471294,0.0,14,21,24,27,30,34,180,450,1200,1800,6100,18000,18000
POST,/api/v1/preserveotherservice/preserveOther,1030,1030,100.0,323.5634478229523,57.835312094539404,20990.914538968354,202.0,0.2217804650632831,0.2217804650632831,58,82,100,180,240,300,490,820,1400,2200,21000,21000,21000
POST,/api/v1/preserveservice/preserve,1025,1025,99,308.14094375273805,59.05226897448301,19966.535079292953,192.0,0.22070386086394678,0.22070386086394678,59,81,99,170,220,270,460,700,1500,2300,19000,20000,20000
POST,/api/v1/rebookservice/rebook,7198,0,15,46.45708701265373,7.591976784169674,5303.301473148167,127.0,1.5498794053645746,0.0,8,13,15,17,20,23,89,180,380,640,2000,5300,5300
GET,/api/v1/routeservice/routes/92708982-77af-4318-be25-57ccb0ff69ad,2071,2071,4,4.844107925496143,2.3766770027577877,63.95132793113589,175.0,0.44592945936510614,0.44592945936510614,2,3,4,5,5,6,7,9,13,16,59,64,64
POST,/api/v1/travel2service/trips/left,3124,0,57,301.9769606256509,28.273206669837236,18887.277856003493,142.3377080665813,0.6726623037453363,0.0,28,43,57,270,320,410,710,1100,1900,2600,7900,19000,19000
POST,/api/v1/travelplanservice/travelPlan/quickest,2183,2183,76,162.52466909902233,46.09547695145011,26793.611750938,235.0,0.4700453934302398,0.4700453934302398,46,62,76,96,140,170,280,420,620,760,8600,27000,27000
POST,/api/v1/travelservice/trips/left,1029,0,400.0,730.5003140185959,196.97913900017738,15615.866095758975,327.0,0.22156514422341583,0.0,200,270,400,560,720,820,1400,2200,3400,5800,15000,16000,16000
POST,/api/v1/travelservice/trips/left_parallel,2089,2089,9,13.839190216603933,4.857076797634363,932.0654920302331,245.0,0.44980523448271686,0.44980523448271686,5,8,9,10,11,12,14,18,40,130,620,930,930
POST,/api/v1/users/login,29517,0,2900.0,4200.042668912723,242.6735870540142,34452.85352040082,368.0,6.355625230362065,0.0,240,1700,2900,4000,5100,6400,9800,13000,16000,18000,25000,31000,34000
,Aggregated,768475,8399,18,242.1134189966189,2.3766770027577877,34452.85352040082,138.76075604281206,165.4686824169966,1.80847973404516,2,13,18,38,70,89,250,790,3100,5300,15000,22000,34000
