Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,559,12,30,2059.850659577946,12.276544235646725,61447.01128592715,191.98747763864043,0.12033430859874078,0.002583205193532897,12,18,30,230,680,1300,4900,8900,27000,39000,61000,61000,61000
GET,/api/v1/adminbasicservice/adminbasic/prices,568,22,31,1917.1506540741589,12.903925031423569,61516.543669160455,1630.2007042253522,0.12227171249389045,0.004735876188143644,13,19,32,220,480,1000,3100,9600,27000,60000,62000,62000,62000
GET,/api/v1/assuranceservice/assurances/types,531,1,10,180.17915455122844,6.147313863039017,52252.336209174246,107.97551789077212,0.11430682981383068,0.00021526709946107474,6,9,10,11,13,15,110,360,1100,2100,52000,52000,52000
GET,/api/v1/cancelservice/cancel/0182767d-f4e1-4fa7-9f77-24c24a39e29e/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,172.28397075086832,172.28397075086832,172.28397075086832,172.28397075086832,41.0,0.00021526709946107474,0.0,170,170,170,170,170,170,170,170,170,170,170,170,170
GET,/api/v1/cancelservice/cancel/01c8abc5-3cd6-4826-bcfa-dc21d6a0f487/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,710.0,2843.2421116158366,707.7356893569231,4978.74853387475,53.5,0.00043053419892214947,0.0,710,710,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
GET,/api/v1/cancelservice/cancel/01f04ba8-9a9f-4c01-a709-6710a8dfd750/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,14336.020132061094,14336.020132061094,14336.020132061094,14336.020132061094,41.0,0.00021526709946107474,0.0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
GET,/api/v1/cancelservice/cancel/022091d1-b6dc-4003-a821-dbe43989ced0/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,3,2,60000.0,40213.43673284476,15.94402501359582,60620.78912137076,148.0,0.0006458012983832243,0.00043053419892214947,16,16,60000,60000,61000,61000,61000,61000,61000,61000,61000,61000,61000
GET,/api/v1/cancelservice/cancel/02792484-043c-4270-a739-10e36d5139b1/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,9309.822814073414,9309.822814073414,9309.822814073414,9309.822814073414,41.0,0.00021526709946107474,0.0,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300
GET,/api/v1/cancelservice/cancel/031d7817-3808-4321-8aad-4784f0e6d3f3/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,24,11440.53307059221,23.524390999227762,22857.54175018519,53.5,0.00043053419892214947,0.0,24,24,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/v1/cancelservice/cancel/03359269-5ec0-4128-9a44-612380ee8243/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,1,60009.0699470602,60009.0699470602,60009.0699470602,60009.0699470602,189.0,0.00021526709946107474,0.00021526709946107474,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
