Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,797,8,18,566.817947495682,3.828989341855049,60010.392318014055,190.12170639899622,0.1716361450090884,0.0017228220327135597,4,15,18,21,29,57,410,1800,5900,13000,60000,60000,60000
GET,/api/v1/adminbasicservice/adminbasic/prices,790,21,18,589.364193869118,3.7153600715100765,62321.67540863156,1647.5974683544305,0.170128675730464,0.004522407835873094,4,15,18,22,34,82,510,2900,8300,13000,62000,62000,62000
GET,/api/v1/assuranceservice/assurances/types,675,1,10,155.06927026849655,6.591467652469873,47297.60736320168,107.98074074074074,0.1453631090102066,0.00021535275408919496,7,8,10,12,13,15,26,190,390,3200,47000,47000,47000
GET,/api/v1/cancelservice/cancel/0010b5b4-22cf-420a-ad40-cf41443658a2/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,69,708.3063346799463,68.89022001996636,1347.7224493399262,53.5,0.0004307055081783899,0.0,69,69,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/v1/cancelservice/cancel/00f026d5-1312-438a-a929-63d6e9da62c3/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2684.9375260062516,2684.9375260062516,2684.9375260062516,2684.9375260062516,41.0,0.00021535275408919496,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/api/v1/cancelservice/cancel/01736e6d-5d40-4716-9a73-85d42cc468a1/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,288.39820716530085,288.39820716530085,288.39820716530085,288.39820716530085,41.0,0.00021535275408919496,0.0,290,290,290,290,290,290,290,290,290,290,290,290,290
GET,/api/v1/cancelservice/cancel/0173729a-5d50-4b10-9fc1-027f532d3e07/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,722.6368221454322,722.6368221454322,722.6368221454322,722.6368221454322,41.0,0.00021535275408919496,0.0,720,720,720,720,720,720,720,720,720,720,720,720,720
GET,/api/v1/cancelservice/cancel/029074e0-d487-43f5-8229-6fad11f8ab1f/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,65.16725616529584,2066.138449124992,65.16725616529584,4067.109642084688,53.5,0.0004307055081783899,0.0,65,65,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/api/v1/cancelservice/cancel/04ff0269-ff79-4b5d-be21-7c28c1a3e270/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,181.33433908224106,198.1700067408383,181.33433908224106,215.00567439943552,53.5,0.0004307055081783899,0.0,180,180,220,220,220,220,220,220,220,220,220,220,220
GET,/api/v1/cancelservice/cancel/06a51170-fa3d-49d0-b0f7-6bb6c29f5598/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,1222.2703550942242,1222.2703550942242,1222.2703550942242,1222.2703550942242,41.0,0.00021535275408919496,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/v1/cancelservice/cancel/09e5c387-47e8-4437-9e24-306ca99fd6f8/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,620.0,2301.866759546101,618.6389783397317,3985.0945407524705,53.5,0.0004307055081783899,0.0,620,620,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
GET,/api/v1/cancelservice/cancel/09ed9dff-1663-4163-af90-615a29661a10/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,3,0,35,2712.9584555514157,22.84022979438305,8080.949142109603,57.666666666666664,0.0006460582622675848,0.0,23,23,35,35,8100,8100,8100,8100,8100,8100,8100,8100,8100
GET,/api/v1/cancelservice/cancel/0b7bf039-e283-42c7-91c8-a9c1d8f24ad1/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2927.5544811971486,2927.5544811971486,2927.5544811971486,2927.5544811971486,41.0,0.00021535275408919496,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
GET,/api/v1/cancelservice/cancel/0eaf1082-687c-4c19-b7b1-43b3a8794b87/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,63.44863912090659,1474.4439215864986,63.44863912090659,2885.4392040520906,53.5,0.0004307055081783899,0.0,63,63,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
GET,/api/v1/cancelservice/cancel/0f55ee5a-70a1-477c-b622-4806630d0073/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,411.18096513673663,411.18096513673663,411.18096513673663,411.18096513673663,41.0,0.00021535275408919496,0.0,410,410,410,410,410,410,410,410,410,410,410,410,410
GET,/api/v1/cancelservice/cancel/109aa0c6-e3f2-4e8a-99b5-f0bd03bb8fd7/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,3,0,1200.0,827.0701722552379,26.338173542171717,1270.9243018180132,57.666666666666664,0.0006460582622675848,0.0,26,26,1200,1200,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/v1/cancelservice/cancel/1183b934-2c83-4b0c-a0d4-a773d0368d96/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,5900.0,6105.413939338177,5873.663197737187,6337.164680939168,41.0,0.0004307055081783899,0.0,5900,5900,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300
