Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,2358,0,16,43.80317148278555,10.010706726461649,13320.675541181117,191.0,0.5076310088487522,0.0,10,14,16,18,20,21,27,97,230,420,4500,13000,13000
GET,/api/v1/adminbasicservice/adminbasic/prices,2307,1,17,47.3315836310687,10.265924036502838,8482.447922229767,1684.3107932379714,0.49665171221970794,0.00021528032605969136,10,14,17,19,20,22,28,98,230,430,5000,8500,8500
GET,/api/v1/assuranceservice/assurances/types,2370,0,9,15.045738395869355,4.3351249769330025,2026.628751307726,108.0,0.5102143727614685,0.0,4,8,9,10,11,12,14,18,52,210,1000,2000,2000
GET,/api/v1/cancelservice/cancel/5ad7750b-a68b-49c0-a8c0-32776b067703/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,23222.545613069087,23222.545613069087,23222.545613069087,23222.545613069087,41.0,0.00021528032605969136,0.0,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/api/v1/cancelservice/cancel/8177ac5a-61ac-42f4-83f4-bd7b394d0531/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,36449.147443752736,36597.29355899617,36449.147443752736,36745.439674239606,41.0,0.0004305606521193827,0.0,36000,36000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
GET,/api/v1/cancelservice/cancel/d3c91694-d5b8-424c-9974-e14c89226e49/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,36744.03996672481,36744.03996672481,36744.03996672481,36744.03996672481,41.0,0.00021528032605969136,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
PUT,/api/v1/consignservice/consigns,2350,0,24,74.17021282690953,13.959262985736132,14365.118982736021,389.34468085106386,0.5059087662402747,0.0,14,20,24,27,29,31,93,200,300,510,11000,14000,14000
GET,/api/v1/contactservice/contacts/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2369,0,12,28.87381559847974,6.828148849308491,13304.848222993314,459.0,0.5099990924354089,0.0,7,10,12,13,14,15,20,45,220,230,1500,13000,13000
GET,/api/v1/executeservice/execute/execute/d3c91694-d5b8-424c-9974-e14c89226e49,1,0,5779.7531629912555,5779.7531629912555,5779.7531629912555,5779.7531629912555,51.0,0.00021528032605969136,0.0,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800
GET,/api/v1/foodservice/foods/2021-07-14/Shang%20Hai/Su%20Zhou/D1345,4624,0,55,188.57829716313586,32.032818999141455,15869.4934588857,1090.0,0.9954562277000129,0.0,32,46,55,75,130,180,330,570,1200,2400,10000,16000,16000
