Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,739,0,17,39.97706658369452,10.80294232815504,5734.717184212059,191.0,0.15911130255045777,0.0,11,15,17,20,23,26,43,110,220,360,5700,5700,5700
GET,/api/v1/adminbasicservice/adminbasic/prices,740,0,18,40.593971546135236,11.484812013804913,5232.029153965414,1685.0,0.15932660877853688,0.0,11,15,18,21,24,27,71,100,210,320,5200,5200,5200
GET,/api/v1/assuranceservice/assurances/types,688,0,9,15.625260161847786,5.306642036885023,2521.809965837747,108.0,0.1481306849184235,0.0,5,8,9,11,12,13,15,19,55,92,2500,2500,2500
GET,/api/v1/cancelservice/cancel/01676feb-d8f6-47b7-b46f-8a8cb802cfe3/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2656.05633193627,2656.05633193627,2656.05633193627,2656.05633193627,41.0,0.0002153062280791039,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/api/v1/cancelservice/cancel/0246b2d0-3fee-4449-a59b-b27474b522d9/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2684.4452088698745,2684.4452088698745,2684.4452088698745,2684.4452088698745,41.0,0.0002153062280791039,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/api/v1/cancelservice/cancel/032f9e80-9732-4c8b-901e-9e5ebe32b34c/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,37.18959633260965,39.01281370781362,37.18959633260965,40.83603108301759,41.0,0.0004306124561582078,0.0,37,37,41,41,41,41,41,41,41,41,41,41,41
GET,/api/v1/cancelservice/cancel/045140fd-c01e-4bc4-88b5-f0a459e41146/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2638.5903279297054,2638.5903279297054,2638.5903279297054,2638.5903279297054,41.0,0.0002153062280791039,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/api/v1/cancelservice/cancel/07595b13-e5ff-42a2-af36-c66d929d362f/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2706.1827001161873,2706.1827001161873,2706.1827001161873,2706.1827001161873,41.0,0.0002153062280791039,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/api/v1/cancelservice/cancel/09c5c95a-f26c-419c-9331-7b12a66a2621/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,320.0,1566.2238395307213,318.03735392168164,2814.410325139761,53.5,0.0004306124561582078,0.0,320,320,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
GET,/api/v1/cancelservice/cancel/0d4c7204-dffe-42b5-951d-48ede9c94f83/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,3,0,5400.0,4227.106938449045,1560.0051111541688,5754.269638098776,49.333333333333336,0.0006459186842373118,0.0,1600,1600,5400,5400,5800,5800,5800,5800,5800,5800,5800,5800,5800
GET,/api/v1/cancelservice/cancel/0f258fe8-80f0-491b-a731-5dc3d2ff6b1b/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2866.8762147426605,2866.8762147426605,2866.8762147426605,2866.8762147426605,41.0,0.0002153062280791039,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
GET,/api/v1/cancelservice/cancel/0f2c3aa1-3eb9-4a2e-be17-2ba1efbc653a/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2666.5583099238575,2666.5583099238575,2666.5583099238575,2666.5583099238575,41.0,0.0002153062280791039,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/api/v1/cancelservice/cancel/10cec2f2-5d60-41da-bd99-f57ce5f1ba7f/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,110.0,115.9083778038621,107.90127469226718,123.91548091545701,53.5,0.0004306124561582078,0.0,110,110,120,120,120,120,120,120,120,120,120,120,120
GET,/api/v1/cancelservice/cancel/113485a8-83c9-45f5-b383-44232ec725dd/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,135.37768321111798,135.37768321111798,135.37768321111798,135.37768321111798,41.0,0.0002153062280791039,0.0,140,140,140,140,140,140,140,140,140,140,140,140,140
GET,/api/v1/cancelservice/cancel/13253aa8-6bd8-47a5-99da-8acc3c9e09dc/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,4195.070081856102,4195.070081856102,4195.070081856102,4195.070081856102,41.0,0.0002153062280791039,0.0,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/api/v1/cancelservice/cancel/1384b622-9d77-4993-a38d-c817e950ebc4/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,46.28794267773628,46.28794267773628,46.28794267773628,46.28794267773628,41.0,0.0002153062280791039,0.0,46,46,46,46,46,46,46,46,46,46,46,46,46
GET,/api/v1/cancelservice/cancel/139b9b65-f2b7-4ce1-88e9-a31948b64aad/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2850.9392272681,2850.9392272681,2850.9392272681,2850.9392272681,41.0,0.0002153062280791039,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
GET,/api/v1/cancelservice/cancel/14bb33c4-b589-4fb4-ad6b-d7026af98257/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2721.529270056635,2721.529270056635,2721.529270056635,2721.529270056635,41.0,0.0002153062280791039,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/api/v1/cancelservice/cancel/180b97ed-623e-4cdf-a7a6-c80d2cf23275/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,4217.758940067142,4217.758940067142,4217.758940067142,4217.758940067142,41.0,0.0002153062280791039,0.0,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/api/v1/cancelservice/cancel/18b3dd31-5a0f-4992-bdc5-3b8273dbe0e6/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2644.5211092941463,2644.5211092941463,2644.5211092941463,2644.5211092941463,41.0,0.0002153062280791039,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/api/v1/cancelservice/cancel/1924c405-0084-480f-add8-fd14111a88ab/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,3429.7885010018945,3429.7885010018945,3429.7885010018945,3429.7885010018945,41.0,0.0002153062280791039,0.0,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
GET,/api/v1/cancelservice/cancel/1a47693e-637f-4597-9105-1edc99c25faa/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,4198.646701872349,4198.646701872349,4198.646701872349,4198.646701872349,41.0,0.0002153062280791039,0.0,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/api/v1/cancelservice/cancel/1e9a26a0-0627-44ab-92a7-0b8a07780b31/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,10904.834672808647,10904.834672808647,10904.834672808647,10904.834672808647,41.0,0.0002153062280791039,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/v1/cancelservice/cancel/1f054c9a-dbdb-47cc-ac70-c2e324926fcb/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2677.0778112113476,2677.0778112113476,2677.0778112113476,2677.0778112113476,41.0,0.0002153062280791039,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/api/v1/cancelservice/cancel/1f34b469-6428-450c-980a-291f2e837cab/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2633.428503293544,2633.428503293544,2633.428503293544,2633.428503293544,41.0,0.0002153062280791039,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/api/v1/cancelservice/cancel/1fca7334-ee9e-4f0a-a833-8c4d9008fdfa/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,499.61207062005997,499.61207062005997,499.61207062005997,499.61207062005997,41.0,0.0002153062280791039,0.0,500,500,500,500,500,500,500,500,500,500,500,500,500
GET,/api/v1/cancelservice/cancel/203b84e9-01e4-4cf2-9b73-c2123a7f5e14/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,43.62698690965772,43.62698690965772,43.62698690965772,43.62698690965772,41.0,0.0002153062280791039,0.0,44,44,44,44,44,44,44,44,44,44,44,44,44
GET,/api/v1/cancelservice/cancel/21efefa2-3c7f-4632-a700-d52509a30b79/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,107.46296029537916,107.46296029537916,107.46296029537916,107.46296029537916,41.0,0.0002153062280791039,0.0,110,110,110,110,110,110,110,110,110,110,110,110,110
GET,/api/v1/cancelservice/cancel/227a18d9-e2b9-4d8e-8ddf-fcf781696950/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,51.280139945447445,51.280139945447445,51.280139945447445,51.280139945447445,41.0,0.0002153062280791039,0.0,51,51,51,51,51,51,51,51,51,51,51,51,51
GET,/api/v1/cancelservice/cancel/231b7cae-3c1d-4b97-a619-ba6ce3bb29c2/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2596.7431501485407,2596.7431501485407,2596.7431501485407,2596.7431501485407,41.0,0.0002153062280791039,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/api/v1/cancelservice/cancel/234127bf-b765-40e0-9e94-fa39ad9ab30d/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2847.0184807665646,2847.0184807665646,2847.0184807665646,2847.0184807665646,41.0,0.0002153062280791039,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
GET,/api/v1/cancelservice/cancel/23df2ad5-7ed3-4dad-8b0b-64d16a7db196/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2634.152382146567,2634.152382146567,2634.152382146567,2634.152382146567,41.0,0.0002153062280791039,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/api/v1/cancelservice/cancel/2a7e1b76-c52f-4d8d-81ce-8caa178a57fa/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,37.60113613680005,37.60113613680005,37.60113613680005,37.60113613680005,41.0,0.0002153062280791039,0.0,38,38,38,38,38,38,38,38,38,38,38,38,38
GET,/api/v1/cancelservice/cancel/2abec823-247a-4e29-80e4-1766142d9d87/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,95.78783623874187,95.78783623874187,95.78783623874187,95.78783623874187,41.0,0.0002153062280791039,0.0,96,96,96,96,96,96,96,96,96,96,96,96,96
GET,/api/v1/cancelservice/cancel/2bfebd6b-3320-4cc7-98f4-9ff12aa9f212/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,94.61313812062144,94.61313812062144,94.61313812062144,94.61313812062144,41.0,0.0002153062280791039,0.0,95,95,95,95,95,95,95,95,95,95,95,95,95
GET,/api/v1/cancelservice/cancel/2c3e2d43-458b-44c9-8e4b-7a2a4bc7f10c/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,67.87915620952845,67.87915620952845,67.87915620952845,67.87915620952845,41.0,0.0002153062280791039,0.0,68,68,68,68,68,68,68,68,68,68,68,68,68
GET,/api/v1/cancelservice/cancel/2ce06773-06ae-403f-a0fe-6eb3ebf32055/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,36.09481081366539,36.09481081366539,36.09481081366539,36.09481081366539,41.0,0.0002153062280791039,0.0,36,36,36,36,36,36,36,36,36,36,36,36,36
GET,/api/v1/cancelservice/cancel/2d102dbe-c457-46ad-9263-ef4cc6a40d2b/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2899.282203055918,2899.282203055918,2899.282203055918,2899.282203055918,41.0,0.0002153062280791039,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
GET,/api/v1/cancelservice/cancel/2dc4fe35-d9c1-4f9e-ac41-706b2e4b22ee/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,73.58031393960118,73.58031393960118,73.58031393960118,73.58031393960118,41.0,0.0002153062280791039,0.0,74,74,74,74,74,74,74,74,74,74,74,74,74
GET,/api/v1/cancelservice/cancel/2f32cad1-d3f0-4976-8c59-d4aab9666aad/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,5153.6578689701855,5153.6578689701855,5153.6578689701855,5153.6578689701855,41.0,0.0002153062280791039,0.0,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200
GET,/api/v1/cancelservice/cancel/2ff5d7a9-1d58-40d9-8c14-a0e9c70368c7/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,203.11828795820475,203.11828795820475,203.11828795820475,203.11828795820475,41.0,0.0002153062280791039,0.0,200,200,200,200,200,200,200,200,200,200,200,200,200
GET,/api/v1/cancelservice/cancel/331b6d72-6025-4142-a5c9-f43bbc680358/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,24.398725014179945,35.558382514864206,24.398725014179945,46.71804001554847,53.5,0.0004306124561582078,0.0,24,24,47,47,47,47,47,47,47,47,47,47,47
GET,/api/v1/cancelservice/cancel/336e8784-e4e9-4cfd-bf6d-3245a778c68c/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,471.6689041815698,471.6689041815698,471.6689041815698,471.6689041815698,41.0,0.0002153062280791039,0.0,470,470,470,470,470,470,470,470,470,470,470,470,470
GET,/api/v1/cancelservice/cancel/34ceca8e-2cd5-4765-b2ec-a2c51a225e00/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,40.01310095191002,40.01310095191002,40.01310095191002,40.01310095191002,41.0,0.0002153062280791039,0.0,40,40,40,40,40,40,40,40,40,40,40,40,40
GET,/api/v1/cancelservice/cancel/360a604b-cda0-45f2-97a9-a9eb89fa4a7c/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,46.073776204138994,46.073776204138994,46.073776204138994,46.073776204138994,41.0,0.0002153062280791039,0.0,46,46,46,46,46,46,46,46,46,46,46,46,46
GET,/api/v1/cancelservice/cancel/365f2a2c-b5f5-4f46-b7d4-785d67da6edb/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,78.02823977544904,78.02823977544904,78.02823977544904,78.02823977544904,41.0,0.0002153062280791039,0.0,78,78,78,78,78,78,78,78,78,78,78,78,78
GET,/api/v1/cancelservice/cancel/36ddf7a1-6288-4901-a040-15d38e4f901d/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,805.0323012284935,805.0323012284935,805.0323012284935,805.0323012284935,41.0,0.0002153062280791039,0.0,810,810,810,810,810,810,810,810,810,810,810,810,810
GET,/api/v1/cancelservice/cancel/37551182-2fa4-4445-bfd7-231a76f0cf57/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2787.1965309605002,2787.1965309605002,2787.1965309605002,2787.1965309605002,41.0,0.0002153062280791039,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
GET,/api/v1/cancelservice/cancel/375ffade-411b-4380-a346-d9e7b2fb6256/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,963.5527580976486,963.5527580976486,963.5527580976486,963.5527580976486,41.0,0.0002153062280791039,0.0,960,960,960,960,960,960,960,960,960,960,960,960,960
GET,/api/v1/cancelservice/cancel/37b12c4a-7619-41ce-8c21-52403feb189b/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,3458.0183550715446,3458.0183550715446,3458.0183550715446,3458.0183550715446,41.0,0.0002153062280791039,0.0,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
GET,/api/v1/cancelservice/cancel/37fa43e7-1212-46b8-89d2-d2f974cb139e/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,3462.284856941551,3462.284856941551,3462.284856941551,3462.284856941551,41.0,0.0002153062280791039,0.0,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
GET,/api/v1/cancelservice/cancel/3aebc01c-561e-407e-8f88-deb7179c2c11/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,240.8407418988645,240.8407418988645,240.8407418988645,240.8407418988645,41.0,0.0002153062280791039,0.0,240,240,240,240,240,240,240,240,240,240,240,240,240
GET,/api/v1/cancelservice/cancel/3be027a8-e1c5-43a0-bee0-7117d80348dc/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2688.3522430434823,2688.3522430434823,2688.3522430434823,2688.3522430434823,41.0,0.0002153062280791039,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/api/v1/cancelservice/cancel/3c0fcedb-8f27-4744-864f-603c434ff95b/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,21.478210110217333,53.15710650756955,21.478210110217333,84.83600290492177,53.5,0.0004306124561582078,0.0,21,21,85,85,85,85,85,85,85,85,85,85,85
GET,/api/v1/cancelservice/cancel/3cb984f3-574e-498e-b884-8191ca5f2579/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,298.1477449648082,298.1477449648082,298.1477449648082,298.1477449648082,41.0,0.0002153062280791039,0.0,300,300,300,300,300,300,300,300,300,300,300,300,300
GET,/api/v1/cancelservice/cancel/3cee89bb-fca0-434e-b2a8-8003ef680eb3/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2969.105800613761,2969.105800613761,2969.105800613761,2969.105800613761,41.0,0.0002153062280791039,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
GET,/api/v1/cancelservice/cancel/3d958474-1067-495a-94ef-b09fcdcd8166/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,66.47063186392188,66.47063186392188,66.47063186392188,66.47063186392188,41.0,0.0002153062280791039,0.0,66,66,66,66,66,66,66,66,66,66,66,66,66
GET,/api/v1/cancelservice/cancel/40fd619a-a491-47ee-8f4e-418273602486/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,35.09888332337141,35.09888332337141,35.09888332337141,35.09888332337141,41.0,0.0002153062280791039,0.0,35,35,35,35,35,35,35,35,35,35,35,35,35
GET,/api/v1/cancelservice/cancel/41fb3d36-e369-4d9d-8144-a1c6830ed603/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,39.51316513121128,39.51316513121128,39.51316513121128,39.51316513121128,41.0,0.0002153062280791039,0.0,40,40,40,40,40,40,40,40,40,40,40,40,40
GET,/api/v1/cancelservice/cancel/4294aeec-39c0-4c6c-afd4-0f57241185c9/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2393.9313599839807,2393.9313599839807,2393.9313599839807,2393.9313599839807,41.0,0.0002153062280791039,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/api/v1/cancelservice/cancel/446f4431-6cc5-4d7d-808b-f1108784e82c/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2646.2466935627162,2646.2466935627162,2646.2466935627162,2646.2466935627162,41.0,0.0002153062280791039,0.0,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
GET,/api/v1/cancelservice/cancel/4618380e-c71e-4b44-a4c4-27450ef07444/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,61.71886529773474,61.71886529773474,61.71886529773474,61.71886529773474,41.0,0.0002153062280791039,0.0,62,62,62,62,62,62,62,62,62,62,62,62,62
GET,/api/v1/cancelservice/cancel/4663262a-4b7d-4c6f-bbfa-3ad4be8c12ee/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,97.68534824252129,97.68534824252129,97.68534824252129,97.68534824252129,41.0,0.0002153062280791039,0.0,98,98,98,98,98,98,98,98,98,98,98,98,98
GET,/api/v1/cancelservice/cancel/46918e14-cefa-4f27-a016-6bfcd8eda95b/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,763.2040623575449,763.2040623575449,763.2040623575449,763.2040623575449,41.0,0.0002153062280791039,0.0,760,760,760,760,760,760,760,760,760,760,760,760,760
GET,/api/v1/cancelservice/cancel/495ec3c6-4990-420a-a787-a4ccb13006d2/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,206.7673671990633,206.7673671990633,206.7673671990633,206.7673671990633,41.0,0.0002153062280791039,0.0,210,210,210,210,210,210,210,210,210,210,210,210,210
GET,/api/v1/cancelservice/cancel/4973eadc-5ac6-4561-971a-bb160b486f21/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,3425.9213032200933,3425.9213032200933,3425.9213032200933,3425.9213032200933,41.0,0.0002153062280791039,0.0,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
GET,/api/v1/cancelservice/cancel/49833576-7532-4b06-a28e-8a298090b47c/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,86.13103674724698,86.13103674724698,86.13103674724698,86.13103674724698,41.0,0.0002153062280791039,0.0,86,86,86,86,86,86,86,86,86,86,86,86,86
GET,/api/v1/cancelservice/cancel/49948575-1de1-4917-9ad6-c34eb37d2863/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,4,0,16,852.5293282000348,15.558721031993628,3342.4804960377514,59.75,0.0008612249123164156,0.0,16,16,36,36,3300,3300,3300,3300,3300,3300,3300,3300,3300
GET,/api/v1/cancelservice/cancel/499e1cdf-6a5c-4379-a71b-216d7e25b187/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,405.4937711916864,405.4937711916864,405.4937711916864,405.4937711916864,41.0,0.0002153062280791039,0.0,410,410,410,410,410,410,410,410,410,410,410,410,410
GET,/api/v1/cancelservice/cancel/49caa6a4-3ec1-4773-865c-4cd1ee21a9c4/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,291.13273322582245,291.13273322582245,291.13273322582245,291.13273322582245,41.0,0.0002153062280791039,0.0,290,290,290,290,290,290,290,290,290,290,290,290,290
GET,/api/v1/cancelservice/cancel/4bfdf1d5-9b85-4a05-98a8-594f97199b85/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,23,69.44424449466169,22.539821919053793,116.34866707026958,53.5,0.0004306124561582078,0.0,23,23,120,120,120,120,120,120,120,120,120,120,120
GET,/api/v1/cancelservice/cancel/4ccfe3e3-6f0b-4734-b0d2-1cb06741f14b/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2692.6001142710447,2692.6001142710447,2692.6001142710447,2692.6001142710447,41.0,0.0002153062280791039,0.0,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/api/v1/cancelservice/cancel/4e044fe9-8632-4114-9d38-49b2901aa898/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,2630.768083035946,3081.5513639245182,2630.768083035946,3532.3346448130906,53.5,0.0004306124561582078,0.0,2600,2600,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
GET,/api/v1/cancelservice/cancel/4ea8652f-8ba5-4361-a7de-a35a89d08ebe/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,1804.4284577481449,1804.4284577481449,1804.4284577481449,1804.4284577481449,41.0,0.0002153062280791039,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/api/v1/cancelservice/cancel/505f8ba1-e09a-468c-9053-9c5765dddb9b/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,710.0,1038.7231423519552,706.4078538678586,1371.0384308360517,53.5,0.0004306124561582078,0.0,710,710,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400
GET,/api/v1/cancelservice/cancel/5161e364-8aef-46fc-a32e-e548325c6578/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,22.20118185505271,132.6462458819151,22.20118185505271,243.09130990877748,53.5,0.0004306124561582078,0.0,22,22,240,240,240,240,240,240,240,240,240,240,240
GET,/api/v1/cancelservice/cancel/51799fb3-20f9-4e0c-89ad-fa39e8bbb488/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,191.4949486963451,191.4949486963451,191.4949486963451,191.4949486963451,41.0,0.0002153062280791039,0.0,190,190,190,190,190,190,190,190,190,190,190,190,190
GET,/api/v1/cancelservice/cancel/5331bc96-122e-4d94-bc96-90b49cbb0b58/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,21.179515402764082,159.33020319789648,21.179515402764082,297.4808909930289,53.5,0.0004306124561582078,0.0,21,21,300,300,300,300,300,300,300,300,300,300,300
GET,/api/v1/cancelservice/cancel/53c88f6c-95b2-4af1-947b-c5157767189b/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,39.18128972873092,39.18128972873092,39.18128972873092,39.18128972873092,41.0,0.0002153062280791039,0.0,39,39,39,39,39,39,39,39,39,39,39,39,39
