Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,3866,0,16,28.36294149591135,9.765089023858309,7881.308875977993,191.0,0.8323836448632695,0.0,10,14,16,18,19,20,25,43,110,210,3100,7900,7900
GET,/api/v1/adminbasicservice/adminbasic/prices,3985,2,17,40.146879664969305,9.656675159931183,60009.547885041684,1684.2255959849435,0.8580053866477313,0.00043061750898255017,10,14,17,18,20,21,25,42,120,230,1500,60000,60000
GET,/api/v1/assuranceservice/assurances/types,3839,0,9,13.180850005162068,5.489483010023832,3533.588523976505,108.0,0.8265703084920051,0.0,5,8,9,10,11,11,13,16,27,74,600,3500,3500
GET,/api/v1/cancelservice/cancel/022cd6bc-0b24-4cc7-b60f-feb89547d94b/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,1286.9057483039796,1286.9057483039796,1286.9057483039796,1286.9057483039796,41.0,0.00021530875449127509,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/v1/cancelservice/cancel/032d492f-db0f-4070-8e6c-821d83a6c6dc/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,1030.1145976409316,1111.9781013112515,1030.1145976409316,1193.8416049815714,53.5,0.00043061750898255017,0.0,1000,1000,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/v1/cancelservice/cancel/04547ad2-fd7b-43b5-8e7e-adaa6bbcb674/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,7104.593739844859,7294.502996373922,7104.593739844859,7484.412252902985,41.0,0.00043061750898255017,0.0,7100,7100,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
GET,/api/v1/cancelservice/cancel/0ab0f7db-baff-400b-96eb-cc20c775c537/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,5570.427509956062,5570.427509956062,5570.427509956062,5570.427509956062,41.0,0.00021530875449127509,0.0,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600,5600
GET,/api/v1/cancelservice/cancel/0e43ce6c-314e-4f41-b95a-7db91bf40718/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,2600.0,2635.0558008998632,2595.5840847454965,2674.52751705423,53.5,0.00043061750898255017,0.0,2600,2600,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
GET,/api/v1/cancelservice/cancel/0ed818f8-310b-4744-af43-c45c9e5fb4f0/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,526.2798918411136,526.2798918411136,526.2798918411136,526.2798918411136,41.0,0.00021530875449127509,0.0,530,530,530,530,530,530,530,530,530,530,530,530,530
GET,/api/v1/cancelservice/cancel/0fcd5a6a-cee8-43c5-9e87-74c91a27648a/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2237.257996108383,2237.257996108383,2237.257996108383,2237.257996108383,41.0,0.00021530875449127509,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/api/v1/cancelservice/cancel/12608aa4-1526-4bd5-a868-58b130319f16/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,4550.075734965503,4550.075734965503,4550.075734965503,4550.075734965503,41.0,0.00021530875449127509,0.0,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600
GET,/api/v1/cancelservice/cancel/173c81f4-0dbb-4f81-9e91-6d0e821656d4/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,70,1591.1895052995533,69.69379866495728,3112.6852119341493,53.5,0.00043061750898255017,0.0,70,70,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
GET,/api/v1/cancelservice/cancel/19b0b586-f82e-4dce-a784-9513987b2c5e/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,6401.06085408479,6401.06085408479,6401.06085408479,6401.06085408479,41.0,0.00021530875449127509,0.0,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400
GET,/api/v1/cancelservice/cancel/1a0cdf98-eca6-49ec-98af-b629c8b00c53/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,7551.3211828656495,7551.3211828656495,7551.3211828656495,7551.3211828656495,41.0,0.00021530875449127509,0.0,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600
