Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,1342,0,16,28.160663893107664,9.751842822879553,3111.0529210418463,191.0,0.29024009128051326,0.0,10,14,16,18,19,21,24,37,230,240,1300,3100,3100
GET,/api/v1/adminbasicservice/adminbasic/prices,1425,0,16,24.979863403724472,9.811482857912779,778.124931268394,1685.0,0.30819085698564186,0.0,10,14,16,18,20,21,25,34,220,230,630,780,780
GET,/api/v1/assuranceservice/assurances/types,1318,0,8,14.937150737621195,5.580329801887274,3159.096030984074,108.0,0.2850495084260182,0.0,6,7,8,9,10,10,12,15,43,210,630,3200,3200
GET,/api/v1/contactservice/contacts/account/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1315,0,11,16.102697255847684,7.163075730204582,492.9977939464152,459.0,0.28440068556920634,0.0,7,9,11,12,13,13,16,19,74,220,460,490,490
GET,/api/v1/foodservice/foods/2021-07-14/Shang%20Hai/Su%20Zhou/D1345,2760,2,87,250.49501164171818,30.10188601911068,14917.367978952825,878.4644927536232,0.5969170282669274,0.0004325485712079184,30,53,87,120,170,220,420,760,2000,3800,10000,15000,15000
POST,/api/v1/orderOtherService/orderOther/refresh,7856,7856,3600.0,7029.934212236174,3.030837047845125,60020.54954925552,172.68419042769858,1.6990507877047034,1.6990507877047034,3,1800,3600,5900,7900,9500,15000,25000,60000,60000,60000,60000,60000
POST,/api/v1/orderservice/order/refresh,7968,7968,4100.0,8670.93890160662,3.2068416476249695,60997.23854800686,166.2202560240964,1.7232735076923469,1.7232735076923469,3,1900,4100,6600,8900,11000,20000,48000,60000,60000,60000,61000,61000
POST,/api/v1/preserveotherservice/preserveOther,362,162,4700.0,9650.901733640356,16.517738811671734,60013.305420055985,126.86187845303867,0.07829129138863324,0.03503643426784139,17,1700,4800,6400,9400,12000,27000,60000,60000,60000,60000,60000,60000
POST,/api/v1/preserveservice/preserve,377,155,4900.0,8608.992928721811,34.35366600751877,60007.60912382975,117.22281167108753,0.08153540567269262,0.033522514268613676,34,2000,4900,6200,7700,9400,22000,46000,60000,60000,60000,60000,60000
GET,/api/v1/routeservice/routes/92708982-77af-4318-be25-57ccb0ff69ad,1385,1385,4,6.964606138127806,2.6724538765847683,1370.6721039488912,175.0,0.2995398855614835,0.2995398855614835,3,4,4,5,5,5,6,8,15,47,480,1400,1400
POST,/api/v1/travel2service/trips/left,2022,302,660.0,2625.624640114259,45.79494707286358,60007.80277978629,238.8704253214639,0.4373066054912055,0.06531483425239568,46,190,660,1100,1500,1800,4700,11000,31000,55000,60000,60000,60000
POST,/api/v1/travelplanservice/travelPlan/quickest,1374,375,2500.0,8211.998840703478,95.557342749089,60140.65587986261,514.5218340611353,0.29716086841983996,0.0811028571014847,96,420,2500,4500,6000,8200,21000,60000,60000,60000,60000,60000,60000
POST,/api/v1/travelservice/trips/left,679,116,630.0,2976.253434830511,48.34727756679058,60008.39892681688,234.9882179675994,0.1468502399250883,0.025087817130059267,48,210,630,950,1300,1500,4500,11000,60000,60000,60000,60000,60000
POST,/api/v1/travelservice/trips/left_parallel,1368,1368,9,15.752595750620447,6.194302812218666,618.8136339187622,245.0,0.2958632227062162,0.2958632227062162,6,8,9,10,11,12,15,21,120,220,420,620,620
POST,/api/v1/users/login,19308,1,710.0,2167.1089977900015,170.00982398167253,40187.58348701522,367.91796146674955,4.175823906441244,0.0002162742856039592,170,380,710,1400,2500,3500,6200,8700,12000,15000,29000,37000,40000
,Aggregated,50859,19690,720.0,3782.0041493644812,2.6724538765847683,60997.23854800686,346.642796751804,10.999493891531761,4.258440683541957,3,89,720,2400,3900,5000,9100,14000,34000,60000,60000,60000,61000
