Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,0%,25%,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/adminbasicservice/adminbasic/configs,2665,8,17,57.70961314310472,8.264584001153708,26342.654643580317,191.59437148217637,0.5750002765246437,0.0017260796293422699,8,15,17,19,21,23,28,43,230,340,8600,26000,26000
GET,/api/v1/adminbasicservice/adminbasic/prices,2610,1,18,45.14068895076684,9.565311018377542,26614.93647377938,1684.427203065134,0.5631334790729156,0.00021575995366778373,10,15,18,20,22,24,36,98,230,300,3300,27000,27000
GET,/api/v1/assuranceservice/assurances/types,2619,0,9,13.5615713950908,5.845095030963421,1989.0157282352448,108.0,0.5650753186559256,0.0,6,8,9,10,11,12,14,18,49,96,420,2000,2000
GET,/api/v1/cancelservice/cancel/04a65594-81d8-473e-967c-497ff221094b/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,3,0,410.0,1782.4259678212304,24.67121509835124,4910.717593040317,57.666666666666664,0.0006472798610033511,0.0,25,25,410,410,4900,4900,4900,4900,4900,4900,4900,4900,4900
GET,/api/v1/cancelservice/cancel/05ae92f1-6555-4826-acc0-ca0ad3b0f511/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,5519.842566922307,5519.842566922307,5519.842566922307,5519.842566922307,41.0,0.00021575995366778373,0.0,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500,5500
GET,/api/v1/cancelservice/cancel/07e293ed-0ad6-486f-92f4-f1bb3e1dcc13/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,1216.1811920814216,1216.1811920814216,1216.1811920814216,1216.1811920814216,41.0,0.00021575995366778373,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/v1/cancelservice/cancel/088bad16-1e64-4a8c-9fff-0d3650098b6c/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2960.5190036818385,2960.5190036818385,2960.5190036818385,2960.5190036818385,41.0,0.00021575995366778373,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
GET,/api/v1/cancelservice/cancel/08b5e50f-7139-411d-aa68-13dd4e95f476/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,183.1694687716663,183.1694687716663,183.1694687716663,183.1694687716663,41.0,0.00021575995366778373,0.0,180,180,180,180,180,180,180,180,180,180,180,180,180
GET,/api/v1/cancelservice/cancel/0a31eecb-977b-4034-854b-94f550e9f7da/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,1029.4963689520955,1029.4963689520955,1029.4963689520955,1029.4963689520955,41.0,0.00021575995366778373,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/api/v1/cancelservice/cancel/0b2032c3-89ec-4eff-b44f-f1a912d9c7aa/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2522.9543391615152,2522.9543391615152,2522.9543391615152,2522.9543391615152,41.0,0.00021575995366778373,0.0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
GET,/api/v1/cancelservice/cancel/0ca8b2ef-cc9c-43b2-bf82-f4bf152dbe81/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,3662.946979049593,3662.946979049593,3662.946979049593,3662.946979049593,41.0,0.00021575995366778373,0.0,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
GET,/api/v1/cancelservice/cancel/195a637a-342e-41b7-a280-2d1c688eb41b/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,710.0,2068.464098032564,706.4297618344426,3430.4984342306852,53.5,0.00043151990733556746,0.0,710,710,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
GET,/api/v1/cancelservice/cancel/199b9674-c945-45e3-89d7-78eafd89cb88/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2314.845976885408,2314.845976885408,2314.845976885408,2314.845976885408,41.0,0.00021575995366778373,0.0,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300
GET,/api/v1/cancelservice/cancel/20a351a4-5bd1-417d-808c-8199352d7a66/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,7534.894705284387,7534.894705284387,7534.894705284387,7534.894705284387,41.0,0.00021575995366778373,0.0,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
GET,/api/v1/cancelservice/cancel/29184caa-9857-4c99-9812-6c22e607623a/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,915.5240929685533,915.5240929685533,915.5240929685533,915.5240929685533,41.0,0.00021575995366778373,0.0,920,920,920,920,920,920,920,920,920,920,920,920,920
GET,/api/v1/cancelservice/cancel/313b2488-4888-47ed-a964-89df2be45c92/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,4355.520524084568,4355.520524084568,4355.520524084568,4355.520524084568,41.0,0.00021575995366778373,0.0,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
GET,/api/v1/cancelservice/cancel/392532a9-d89f-4f53-aa57-11cbf72f1395/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,5781.87851794064,5781.87851794064,5781.87851794064,5781.87851794064,41.0,0.00021575995366778373,0.0,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800
GET,/api/v1/cancelservice/cancel/3a6f6db0-7ad1-454a-8742-79c21296c23c/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,1837.1087471023202,1837.1087471023202,1837.1087471023202,1837.1087471023202,41.0,0.00021575995366778373,0.0,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,/api/v1/cancelservice/cancel/3acb430f-3ad5-48b3-b03d-f1b39550038f/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2910.6438937596977,2910.6438937596977,2910.6438937596977,2910.6438937596977,41.0,0.00021575995366778373,0.0,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
GET,/api/v1/cancelservice/cancel/4294df21-b315-49f4-b44c-2689f364f382/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,6317.245714366436,6317.245714366436,6317.245714366436,6317.245714366436,41.0,0.00021575995366778373,0.0,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300
GET,/api/v1/cancelservice/cancel/509624c7-a393-40bd-b251-e7bbd7cb2ac8/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,6663.548294920474,6663.548294920474,6663.548294920474,6663.548294920474,41.0,0.00021575995366778373,0.0,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700
GET,/api/v1/cancelservice/cancel/55ebe4e2-155a-4c4d-aacb-d32ede8ffe04/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,2962.0571779087186,2962.0571779087186,2962.0571779087186,2962.0571779087186,41.0,0.00021575995366778373,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
GET,/api/v1/cancelservice/cancel/64199279-5ab8-4b53-9c3b-465689751122/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,3348.183742724359,3348.183742724359,3348.183742724359,3348.183742724359,41.0,0.00021575995366778373,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
GET,/api/v1/cancelservice/cancel/65302cc8-acb1-4b8c-8f43-d2425c5e1a41/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,68,2434.6021292731166,67.56882090121508,4801.635437645018,53.5,0.00043151990733556746,0.0,68,68,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800,4800
GET,/api/v1/cancelservice/cancel/66e06578-1061-47af-803a-105a585fb49b/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,3038.223624229431,3038.223624229431,3038.223624229431,3038.223624229431,41.0,0.00021575995366778373,0.0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
GET,/api/v1/cancelservice/cancel/6a5705ab-8d3d-4a04-a421-6781618104eb/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,1520.4934878274798,1520.4934878274798,1520.4934878274798,1520.4934878274798,41.0,0.00021575995366778373,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/v1/cancelservice/cancel/6d7e31d6-cf1a-4a66-bf50-cacb5da4698d/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,4243.686216883361,4243.686216883361,4243.686216883361,4243.686216883361,41.0,0.00021575995366778373,0.0,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/api/v1/cancelservice/cancel/6eceade8-bb54-49f0-b01f-bbd8c2e43a1d/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,11410.439158789814,11410.439158789814,11410.439158789814,11410.439158789814,41.0,0.00021575995366778373,0.0,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/api/v1/cancelservice/cancel/6f2593c9-d1ae-46db-ba73-b12e877de90e/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,4308.60761506483,4308.60761506483,4308.60761506483,4308.60761506483,41.0,0.00021575995366778373,0.0,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300,4300
GET,/api/v1/cancelservice/cancel/6f52adc3-3f2e-4cd0-9894-f8c49fcb62ae/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,2,0,431.6988573409617,1395.7600346766412,431.6988573409617,2359.8212120123208,53.5,0.00043151990733556746,0.0,430,430,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/api/v1/cancelservice/cancel/6f5feb8c-938e-486f-b771-8a1a941bd3a4/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,3229.704495985061,3229.704495985061,3229.704495985061,3229.704495985061,41.0,0.00021575995366778373,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
GET,/api/v1/cancelservice/cancel/70bdd73e-0161-4e7b-939a-ab0692d8b6c1/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,4685.321368742734,4685.321368742734,4685.321368742734,4685.321368742734,41.0,0.00021575995366778373,0.0,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700,4700
GET,/api/v1/cancelservice/cancel/7181933f-b2c4-4b95-9f1e-9d2b667949a3/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,270.6579780206084,270.6579780206084,270.6579780206084,270.6579780206084,41.0,0.00021575995366778373,0.0,270,270,270,270,270,270,270,270,270,270,270,270,270
GET,/api/v1/cancelservice/cancel/72a4dd67-07ed-4bbf-b924-b59e5ee24791/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,10283.170263748616,10283.170263748616,10283.170263748616,10283.170263748616,41.0,0.00021575995366778373,0.0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
GET,/api/v1/cancelservice/cancel/72e8ff25-92fc-4149-9fcd-d63508d8f122/4d2a46c7-71cb-4cf1-b5bb-b68406d9da6f,1,0,6813.745707273483,6813.745707273483,6813.745707273483,6813.745707273483,41.0,0.00021575995366778373,0.0,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,6800
